scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S3,0,4094,Bridge start,N4,31954,1
S3,0,4095,Bridge end,N4,31872,1
S3,0,4097,Bridge Start,N4,12944,1
S3,0,4098,Bridge End,N4,32368,1
S3,0,4100,Bridge Start,N4,13195,1
S3,0,4101,Bridge End,N4,32835,1
S3,0,4125,Bridge start,N4,33061,1
S3,0,4127,Bridge End,N4,33529,1
S3,0,4131,Bridge Start,N4,13448,1
S3,0,4132,Bridge End,N4,34118,1
S3,0,4135,Bridge Start,N4,33747,1
S3,0,4136,Bridge End,N4,13726,1
S3,0,4138,Bridge start,N4,34503,1
S3,0,4139,Bridge end,N4,34701,1
S3,0,4150,Bridge start,N4,13528,1
S3,0,4151,Bridge end,N4,34602,1
S3,0,4152,Bridge start,N4,35248,1
S3,0,4153,Bridge end,N4,34914,1
S3,0,4165,Bridge start,N4,35768,1
S3,0,4166,Bridge end,N4,36159,1
S3,0,4170,Bridge start,N4,36063,1
S3,0,4171,Bridge end,N4,36739,1
S3,0,4174,Bridge start,N4,37279,1
S3,0,4175,Bridge end,N4,37316,1
S3,0,4181,Bridge start,N4,37683,1
S3,0,4182,Bridge end,N4,15045,1
S3,0,4184,Bridge start,N4,36981,1
S3,0,4185,Bridge end,N4,15265,1
S3,0,4190,Bridge start,N4,37752,1
S3,0,4191,Bridge end,N4,15306,1
S3,0,4195,Bridge start,N4,15319,1
S3,0,4196,Bridge end,N4,38221,1
S3,0,4198,Bridge start,N4,39255,1
S3,0,4199,Bridge end,N4,39376,1
S3,0,4203,Bridge start,N4,39627,1
S3,0,4204,Bridge end,N4,15812,1
S3,0,4206,Bridge start,N4,39335,1
S3,0,4207,Bridge end,N4,15843,1
S3,0,4210,Bridge start,N4,16120,1
S3,0,4211,Bridge end,N4,39947,1
S3,0,4213,Bridge start,N4,40824,1
S3,0,4214,Bridge end,N4,16328,1
S3,0,4216,Bridge start,N4,40487,1
