scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S2,0,1634,Bridge end,N104,21538,1
S2,0,1657,Bridge start,N104,21891,1
S2,0,1658,Bridge end,N104,54091,1
S2,0,1663,Bridge start,N104,42156,1
S2,0,1664,Bridge end,N104,19145,1
S2,0,1673,Bridge start,N104,50931,1
S2,0,1674,Bridge end,N104,56516,1
S2,0,1685,Bridge start,N104,56907,1
S2,0,1686,Bridge end,N104,20690,1
S2,0,1690,Bridge start,N104,54978,1
S2,0,1691,Bridge end,N104,18587,1
S2,0,1702,Bridge start,N104,34190,1
S2,0,1703,Bridge end,N104,49402,1
S2,0,1372,Bridge start,N102,16245,1
S2,0,1373,Bridge End,N102,42228,1
S2,0,1402,Bridge start,N102,40233,1
S2,0,1403,Bridge End,N102,40120,1
S2,0,1406,Bridge start,N102,42756,1
S2,0,1407,Bridge End,N102,43127,1
S2,0,1416,Bridge start,N102,42834,1
S2,0,1417,Bridge End,N102,42399,1
S2,0,1421,Bridge start,N102,44436,1
S2,0,1422,Bridge End,N102,43670,1
S2,0,1425,Bridge start,N102,43404,1
S2,0,1426,Bridge End,N102,45779,1
S2,0,1430,Bridge start,N102,17827,1
S2,0,1431,Bridge End,N102,14584,1
S2,0,1435,Bridge start,N102,16436,1
S2,0,1436,Bridge End,N102,40616,1
S2,0,1437,Bridge start,N102,41804,1
S2,0,1438,Bridge End,N102,44483,1
S2,0,1443,Bridge start,N102,45824,1
S2,0,1444,Bridge end,N102,39858,1
S2,0,1445,Bridge start,N102,0,0
S2,0,1446,Bridge end,N102,0,0
S2,0,1449,Bridge start,N102,18661,1
S2,0,1450,Bridge End,N102,42735,1
S2,0,1451,Bridge start,N102,18846,1
S2,0,1452,Bridge End,N102,45467,1
S2,0,1454,Bridge start,N102,79968,1
S2,0,1455,Bridge End,N102,27517,1
S2,0,1459,Bridge start,N102,48824,1
S2,0,1460,Bridge End,N102,42260,1
S2,0,1463,Bridge start,N102,48362,1
S2,0,1464,Bridge End,N102,19337,1
S2,0,1467,Bridge start / Bridge End,N102,42659,1
S2,0,1476,Bridge start,N102,42609,1
S2,0,1477,Bridge End,N102,18961,1
S2,0,1478,Bridge start,N102,47001,1
S2,0,1479,Bridge End,N102,19975,1
S2,0,1483,Bridge start,N102,44831,1
S2,0,1484,Bridge End,N102,19192,1
S2,0,1490,Bridge start,N102,49087,1
S2,0,1491,Bridge End,N102,48280,1
S2,0,1494,Bridge start,N102,19773,1
S2,0,1495,Bridge End,N102,17690,1
S2,0,1499,Bridge start,N102,42311,1
S2,0,1500,Bridge End,N102,50945,1
S2,0,1502,Bridge start,N102,15314,1
S2,0,1503,Bridge end,N102,50155,1
S2,0,1506,Bridge start,N102,51288,1
S2,0,1507,Bridge End,N102,49113,1
S2,0,1511,Bridge start,N102,44497,1
S2,0,1512,Bridge End,N102,93055,1
S2,0,1515,Bridge start,N102,48275,1
S2,0,1516,Bridge End,N102,21408,1
S2,0,1519,Bridge start,N102,19515,1
S2,0,1520,Bridge End,N102,19026,1
S2,0,1521,Km post missing / Bridge start,N102,0,0
S2,0,1522,Bridge End,N102,49768,1
S2,0,1529,Bridge start,N102,47084,1
S2,0,1530,Bridge End,N102,14076,1
S2,0,1533,Bridge start,N102,82851,1
S2,0,1534,Bridge End,N102,0,0
S2,0,1541,Start of Bridge,N102,0,0
S2,0,1543,End of Bridge,N102,0,0
S2,0,1547,Bridge start,N102,46677,1
S2,0,1548,Bridge End,N102,14620,1
S2,0,1554,Bridge Start,N102,19667,1
S2,0,1555,Bridge End,N102,51892,1
S2,0,1562,Bridge Start,N102,22314,1
S2,0,1563,Bridge End,N102,21480,1
S2,0,3240,Bridge start,N204,21847,1
S2,0,3241,Bridge end,N204,21799,1
S2,0,3256,Bridge start,N204,15223,1
S2,0,3257,Bridge end,N204,20908,1
S2,0,3278,Bridge start,N204,52932,1
S2,0,3279,Bridge end,N204,22085,1
S2,0,3283,Bridge start,N204,49120,1
S2,0,3284,Bridge end,N204,22354,1
S2,0,3285,Bridge start,N204,55396,1
S2,0,3286,Bridge end,N204,55449,1
S2,0,3296,Bridge start,N204,22542,1
S2,0,3297,Bridge end,N204,46198,1
S2,0,3320,Bridge start,N204,20847,1
S2,0,3321,Bridge end,N204,30543,1
S2,0,3348,Bridge Start,N207,49624,1
S2,0,3349,Bridge end,N207,19858,1
S2,0,3351,Bridge start,N207,19703,1
S2,0,3352,Bridge end,N207,20437,1
S2,0,3354,Bridge start,N207,51889,1
S2,0,3355,Bridge end,N207,47273,1
S2,0,3358,Bridge start,N207,44424,1
S2,0,3359,Bridge end,N207,51890,1
S2,0,3386,Bridge start,N207,19937,1
S2,0,3387,Bridge end,N207,52089,1
S2,0,3390,Bridge start,N207,20825,1
S2,0,3391,Bridge end,N207,51693,1
S2,0,3398,Bridge start,N207,54208,1
S2,0,3399,Bridge end,N207,20536,1
S2,0,3415,Bridge start,N207,54702,1
S2,0,3416,Bridge end,N207,48587,1
S2,0,3462,Bridge start,N207,20883,1
S2,0,3463,Bridge end,N207,50679,1
S2,0,3485,Bridge start,N207,53290,1
S2,0,3486,Bridge end,N207,47151,1
S2,0,3495,Bridge start,N207,0,0
S2,0,3496,Bridge end,N207,53310,1
S2,0,3500,Bridge start,N207,53367,1
S2,0,3501,Bridge end,N207,15677,1
S2,0,3503,Bridge start,N207,54012,1
S2,0,3504,Bridge end,N207,82819,1
S2,0,1727,Bridge Start,N105,5887,1
S2,0,1728,Bridge end,N105,5366,1
S2,0,1732,Bridge Start,N105,2080,1
S2,0,1733,Bridge end,N105,2234,1
S2,0,1736,Bridge Start,N105,6109,1
S2,0,1737,Bridge end,N105,2094,1
S2,0,1753,"km Post missing / Bridge Start, Kanchon Bridge",N105,0,0
S2,0,1754,Bridge end,N105,6535,1
S2,0,1778,Bridge Start,N105,2142,1
S2,0,1779,Bridge end,N105,2095,1
S2,0,1786,"Gazipur 17 km, Tangail 75 km, Bangabandhu 98 km, / Bridge start",N105,0,0
S2,0,1787,Bridge end,N105,1872,1
S2,0,14,Kachpur bridge,N1,22083,1
S2,0,15,Bridge end,N1,51869,1
S2,0,26,Bridge start,N1,117566,1
S2,0,27,Bridge end,N1,96338,1
S2,0,36,Langalbandhu bridge,N1,123724,1
S2,0,37,Bridge end,N1,55298,1
S2,0,39,Bridge start,N1,128828,1
S2,0,40,Bridge end,N1,137450,1
S2,0,41,Bridge start,N1,45749,1
S2,0,42,Bridge end,N1,135804,1
S2,0,44,Bridge start,N1,52785,1
S2,0,45,Bridge end,N1,126582,1
S2,0,51,Bridge start,N1,138569,1
S2,0,52,Bridge end,N1,247867,1
S2,0,56,Bridge start,N1,124926,1
S2,0,57,Bridge end,N1,51784,1
S2,0,58,Bridge start,N1,134497,1
S2,0,59,Bridge end,N1,0,0
S2,0,61,Meghna  bridge,N1,137042,1
S2,0,63,Bridge end,N1,128790,1
S2,0,69,Bridge start,N1,134017,1
S2,0,71,Bridge end,N1,130330,1
S2,0,72,Bridge start,N1,137168,1
S2,0,73,Bridge end,N1,135944,1
S2,0,75,Bridge start,N1,54804,1
S2,0,76,Bridge end,N1,138894,1
S2,0,78,Bridge start,N1,121210,1
S2,0,79,Bridge end,N1,137273,1
S2,0,80,Bridge start,N1,134730,1
S2,0,81,Bridge end,N1,54902,1
S2,0,84,Bridge start,N1,110253,1
S2,0,85,Bridge end,N1,50444,1
S2,0,89,Bridge start,N1,52604,1
S2,0,90,Bridge end,N1,135832,1
S2,0,94,Bridge start,N1,131194,1
S2,0,95,Bridge end,N1,124997,1
S2,0,98,Daudkandi bridge,N1,51170,1
S2,0,101,Daudkandi bridge,N1,137140,1
S2,0,104,Bridge start,N1,52859,1
S2,0,105,Bridge end,N1,131784,1
S2,0,111,Bridge start,N1,133652,1
S2,0,112,Bridge end,N1,53670,1
S2,0,124,Bridge start,N1,118766,1
S2,0,125,Bridge end,N1,135832,1
S2,0,128,Bridge start,N1,129931,1
