scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S4,0,4094,Bridge start,N4,30963,1
S4,0,4095,Bridge end,N4,31041,1
S4,0,4097,Bridge Start,N4,12306,1
S4,0,4098,Bridge End,N4,31334,1
S4,0,4100,Bridge Start,N4,12583,1
S4,0,4101,Bridge End,N4,31583,1
S4,0,4125,Bridge start,N4,32431,1
S4,0,4127,Bridge End,N4,32081,1
S4,0,4131,Bridge Start,N4,13039,1
S4,0,4132,Bridge End,N4,32115,1
S4,0,4135,Bridge Start,N4,33945,1
S4,0,4136,Bridge End,N4,13172,1
S4,0,4138,Bridge start,N4,32903,1
S4,0,4139,Bridge end,N4,34150,1
S4,0,4150,Bridge start,N4,13657,1
S4,0,4151,Bridge end,N4,33868,1
S4,0,4152,Bridge start,N4,34119,1
S4,0,4153,Bridge end,N4,34030,1
S4,0,4165,Bridge start,N4,34884,1
S4,0,4166,Bridge end,N4,35125,1
S4,0,4170,Bridge start,N4,35634,1
S4,0,4171,Bridge end,N4,35704,1
S4,0,4174,Bridge start,N4,35829,1
S4,0,4175,Bridge end,N4,36396,1
S4,0,4181,Bridge start,N4,36758,1
S4,0,4182,Bridge end,N4,14714,1
S4,0,4184,Bridge start,N4,37113,1
S4,0,4185,Bridge end,N4,14834,1
S4,0,4190,Bridge start,N4,37322,1
S4,0,4191,Bridge end,N4,15119,1
S4,0,4195,Bridge start,N4,14985,1
S4,0,4196,Bridge end,N4,38304,1
S4,0,4198,Bridge start,N4,38649,1
S4,0,4199,Bridge end,N4,39039,1
S4,0,4203,Bridge start,N4,39034,1
S4,0,4204,Bridge end,N4,15562,1
S4,0,4206,Bridge start,N4,39412,1
S4,0,4207,Bridge end,N4,15697,1
S4,0,4210,Bridge start,N4,15624,1
S4,0,4211,Bridge end,N4,39776,1
S4,0,4213,Bridge start,N4,39603,1
S4,0,4214,Bridge end,N4,15964,1
S4,0,4216,Bridge start,N4,40164,1
S4,0,4217,Bridge end,N4,40178,1
S4,0,4219,Bridge start,N4,40658,1
S4,0,4220,Bridge end,N4,41321,1
S4,0,4225,Bridge start,N4,41040,1
S4,0,4226,Bridge end,N4,16303,1
S4,0,4233,Bridge start,N4,41273,1
S4,0,4234,Bridge end,N4,41775,1
S4,0,4235,Bridge start,N4,42595,1
S4,0,4236,Bridge end,N4,16700,1
S4,0,4241,Bridge start,N4,42389,1
S4,0,4242,Bridge end,N4,17233,1
S4,0,4245,Bridge start,N4,78119,1
S4,0,4246,Bridge end,N4,43717,1
S4,0,4250,Bridge start,N4,42990,1
S4,0,4251,Bridge end,N4,44011,1
S4,0,4253,Bridge start,N4,44205,1
S4,0,4254,Bridge end,N4,17811,1
S4,0,4256,Bridge start,N4,17664,1
S4,0,4257,Bridge end,N4,44512,1
S4,0,4259,Bridge start,N4,82186,1
S4,0,4260,Bridge end,N4,17971,1
S4,0,4263,Bridge start,N4,45130,1
S4,0,4264,Bridge end,N4,45555,1
S4,0,4269,Bridge start,N4,18562,1
S4,0,4270,Bridge end,N4,159563,1
S4,0,4273,Bridge start,N4,48208,1
S4,0,4274,Bridge end,N4,19171,1
S4,0,4278,Bridge start,N4,19027,1
S4,0,4279,Bridge end,N4,47549,1
S4,0,4281,Bridge start,N4,48180,1
S4,0,4282,Bridge end,N4,48381,1
S4,0,4285,Bridge start,N4,19267,1
S4,0,4286,Bridge end,N4,19346,1
S4,0,4287,Bridge start,N4,87637,1
S4,0,4288,Bridge end / Km post missing,N4,0,0
S4,0,4289,Bridge start,N4,49133,1
S4,0,4290,Bridge end,N4,18553,1
S4,0,4292,Bridge start,N4,49436,1
S4,0,4293,Bridge end,N4,19527,1
S4,0,4296,Bridge start,N4,50554,1
S4,0,4297,Bridge end,N4,20012,1
S4,0,4300,Bridge start,N4,19857,1
S4,0,4301,Bridge end,N4,49282,1
S4,0,4307,Bridge start,N4,50914,1
S4,0,4308,Bridge end,N4,49699,1
S4,0,4310,Bridge start / Bridge end,N4,50015,1
S4,0,4314,Bridge start,N4,51662,1
S4,0,4315,Bridge end,N4,20740,1
S4,0,4319,Bridge start,N4,50712,1
S4,0,4320,Bridge end,N4,20803,1
S4,0,4322,Bridge start,N4,51300,1
S4,0,4323,Bridge end,N4,50946,1
S4,0,4328,Bridge start,N4,52132,1
S4,0,4329,Bridge end,N4,21125,1
S4,0,4338,Bridge start,N4,52742,1
S4,0,4339,Bridge end,N4,52539,1
S4,0,4350,Bridge start,N4,53286,1
S4,0,4356,Bridge start,N4,54655,1
S4,0,4357,Bridge end,N4,20318,1
S4,0,4366,Bridge start,N4,52891,1
S4,0,4367,Bridge end,N4,20289,1
S4,0,4379,Bridge start,N4,54062,1
S4,0,4380,Bridge end,N4,54054,1
S4,0,4395,Bridge start,N4,54730,1
S4,0,4396,Bridge end/ Start of Jamalpur road Division / Bridge end/ Start of Jamalpur road Division,N4,56024,1
S4,0,4405,Bridge start,N4,54563,1
S4,0,4406,Bridge end,N4,3427,1
S4,0,4413,Bridge start,N4,22020,1
S4,0,4414,Bridge end,N4,21620,1
S4,0,3749,Start of Bridge /Start of Gazipur Road Division / Start of Bridge /Start of Gazipur Road Division,N3,25965,1
S4,0,3750,Bridge end,N3,25922,1
S4,0,3777,Bridge start,N3,59942,1
S4,0,3778,Bridge end,N3,59485,1
S4,0,3836,Flyover start,N3,59948,1
S4,0,3839,Flyover end,N3,108438,1
S4,0,3890,Bridge Start,N3,60889,1
S4,0,3891,Bridge end,N3,23912,1
S4,0,3901,Bridge start,N3,61186,1
S4,0,3902,Bridge end,N3,23717,1
S4,0,3925,Bridge start,N3,23624,1
S4,0,3926,Bridge end,N3,21523,1
S4,0,3933,Bridge start,N3,24647,1
S4,0,3934,Bridge end,N3,61559,1
S4,0,3947,Bridge start,N3,60877,1
S4,0,3948,Bridge end,N3,61912,1
S4,0,3981,Bridge start,N3,60629,1
S4,0,3982,Bridge end,N3,19175,1
S4,0,3987,Bridge start,N3,62267,1
S4,0,3988,Bridge end,N3,25432,1
S4,0,3991,Bridge start,N3,62351,1
S4,0,3992,Bridge end,N3,0,0
S4,0,3995,Bridge start,N3,24467,1
S4,0,3996,Bridge end,N3,59270,1
