scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S1,0,4094,Bridge start,N4,44719,1
S1,0,4095,Bridge end,N4,45114,1
S1,0,4097,Bridge Start,N4,15588,1
S1,0,4098,Bridge End,N4,45685,1
S1,0,4100,Bridge Start,N4,18458,1
S1,0,4101,Bridge End,N4,33834,1
S1,0,4125,Bridge start,N4,40781,1
S1,0,4127,Bridge End,N4,36993,1
S1,0,4131,Bridge Start,N4,18681,1
S1,0,4132,Bridge End,N4,0,0
S1,0,4135,Bridge Start,N4,46790,1
S1,0,4136,Bridge End,N4,18637,1
S1,0,4138,Bridge start,N4,46190,1
S1,0,4139,Bridge end,N4,13269,1
S1,0,4150,Bridge start,N4,18957,1
S1,0,4151,Bridge end,N4,44250,1
S1,0,4152,Bridge start,N4,0,0
S1,0,4153,Bridge end,N4,0,0
S1,0,4165,Bridge start,N4,44384,1
S1,0,4166,Bridge end,N4,0,0
S1,0,4170,Bridge start,N4,43986,1
S1,0,4171,Bridge end,N4,44342,1
S1,0,4174,Bridge start,N4,40150,1
S1,0,4175,Bridge end,N4,16457,1
S1,0,4181,Bridge start,N4,46048,1
S1,0,4182,Bridge end,N4,0,0
S1,0,4184,Bridge start,N4,45183,1
S1,0,4185,Bridge end,N4,0,0
S1,0,4190,Bridge start,N4,50529,1
S1,0,4191,Bridge end,N4,8830,1
S1,0,4195,Bridge start,N4,15178,1
S1,0,4196,Bridge end,N4,51080,1
S1,0,4198,Bridge start,N4,0,0
S1,0,4199,Bridge end,N4,0,0
S1,0,4203,Bridge start,N4,51141,1
S1,0,4204,Bridge end,N4,0,0
S1,0,4206,Bridge start,N4,0,0
S1,0,4207,Bridge end,N4,17525,1
S1,0,4210,Bridge start,N4,0,0
S1,0,4211,Bridge end,N4,0,0
S1,0,4213,Bridge start,N4,0,0
S1,0,4214,Bridge end,N4,0,0
S1,0,4216,Bridge start,N4,34153,1
S1,0,4217,Bridge end,N4,45208,1
S1,0,4219,Bridge start,N4,0,0
S1,0,4220,Bridge end,N4,0,0
S1,0,4225,Bridge start,N4,47264,1
S1,0,4226,Bridge end,N4,0,0
S1,0,4233,Bridge start,N4,0,0
S1,0,4234,Bridge end,N4,0,0
S1,0,4235,Bridge start,N4,0,0
S1,0,4236,Bridge end,N4,0,0
S1,0,4241,Bridge start,N4,51714,1
S1,0,4242,Bridge end,N4,0,0
S1,0,4245,Bridge start,N4,0,0
S1,0,4246,Bridge end,N4,0,0
S1,0,4250,Bridge start,N4,39539,1
S1,0,4251,Bridge end,N4,0,0
S1,0,4253,Bridge start,N4,0,0
S1,0,4254,Bridge end,N4,0,0
S1,0,4256,Bridge start,N4,0,0
S1,0,4257,Bridge end,N4,0,0
S1,0,4259,Bridge start,N4,49337,1
S1,0,4260,Bridge end,N4,0,0
S1,0,4263,Bridge start,N4,0,0
S1,0,4264,Bridge end,N4,0,0
S1,0,4269,Bridge start,N4,0,0
S1,0,4270,Bridge end,N4,0,0
S1,0,4273,Bridge start,N4,0,0
S1,0,4274,Bridge end,N4,0,0
S1,0,4278,Bridge start,N4,0,0
S1,0,4279,Bridge end,N4,35301,1
S1,0,4281,Bridge start,N4,52501,1
S1,0,4282,Bridge end,N4,53506,1
S1,0,4285,Bridge start,N4,0,0
S1,0,4286,Bridge end,N4,15763,1
S1,0,4287,Bridge start,N4,80198,1
S1,0,4288,Bridge end / Km post missing,N4,0,0
S1,0,4289,Bridge start,N4,48659,1
S1,0,4290,Bridge end,N4,0,0
S1,0,4292,Bridge start,N4,0,0
S1,0,4293,Bridge end,N4,0,0
S1,0,4296,Bridge start,N4,55180,1
S1,0,4297,Bridge end,N4,0,0
S1,0,4300,Bridge start,N4,21576,1
S1,0,4301,Bridge end,N4,0,0
S1,0,4307,Bridge start,N4,0,0
S1,0,4308,Bridge end,N4,0,0
S1,0,4310,Bridge start / Bridge end,N4,0,0
S1,0,4314,Bridge start,N4,0,0
S1,0,4315,Bridge end,N4,0,0
S1,0,4319,Bridge start,N4,48281,1
S1,0,4320,Bridge end,N4,0,0
S1,0,4322,Bridge start,N4,0,0
S1,0,4323,Bridge end,N4,0,0
S1,0,4328,Bridge start,N4,0,0
S1,0,4329,Bridge end,N4,0,0
S1,0,4338,Bridge start,N4,0,0
S1,0,4339,Bridge end,N4,0,0
S1,0,4350,Bridge start,N4,55754,1
S1,0,4356,Bridge start,N4,28709,1
S1,0,4357,Bridge end,N4,0,0
S1,0,4366,Bridge start,N4,0,0
S1,0,4367,Bridge end,N4,0,0
S1,0,4379,Bridge start,N4,0,0
S1,0,4380,Bridge end,N4,0,0
S1,0,4395,Bridge start,N4,0,0
S1,0,4396,Bridge end/ Start of Jamalpur road Division / Bridge end/ Start of Jamalpur road Division,N4,31466,1
S1,0,4405,Bridge start,N4,0,0
S1,0,4406,Bridge end,N4,0,0
S1,0,4413,Bridge start,N4,0,0
S1,0,4414,Bridge end,N4,0,0
S1,0,3749,Start of Bridge /Start of Gazipur Road Division / Start of Bridge /Start of Gazipur Road Division,N3,19435,1
S1,0,3750,Bridge end,N3,21610,1
S1,0,3777,Bridge start,N3,62002,1
S1,0,3778,Bridge end,N3,46787,1
S1,0,3836,Flyover start,N3,60873,1
S1,0,3839,Flyover end,N3,0,0
S1,0,3890,Bridge Start,N3,62617,1
S1,0,3891,Bridge end,N3,0,0
S1,0,3901,Bridge start,N3,0,0
S1,0,3902,Bridge end,N3,0,0
S1,0,3925,Bridge start,N3,0,0
S1,0,3926,Bridge end,N3,0,0
S1,0,3933,Bridge start,N3,23692,1
S1,0,3934,Bridge end,N3,0,0
S1,0,3947,Bridge start,N3,0,0
S1,0,3948,Bridge end,N3,0,0
S1,0,3981,Bridge start,N3,39659,1
S1,0,3982,Bridge end,N3,0,0
S1,0,3987,Bridge start,N3,59888,1
S1,0,3988,Bridge end,N3,0,0
S1,0,3991,Bridge start,N3,0,0
S1,0,3992,Bridge end,N3,0,0
S1,0,3995,Bridge start,N3,0,0
S1,0,3996,Bridge end,N3,0,0
S1,0,1602,Bridge start,N104,49649,1
S1,0,1603,Bridge end,N104,6458,1
S1,0,1610,Bridge start,N104,53142,1
S1,0,1611,Bridge end,N104,49375,1
S1,0,1633,Bridge start,N104,53583,1
S1,0,1634,Bridge end,N104,18145,1
S1,0,1657,Bridge start,N104,21986,1
S1,0,1658,Bridge end,N104,0,0
S1,0,1663,Bridge start,N104,24397,1
S1,0,1664,Bridge end,N104,0,0
S1,0,1673,Bridge start,N104,52417,1
S1,0,1674,Bridge end,N104,53201,1
S1,0,1685,Bridge start,N104,40221,1
S1,0,1686,Bridge end,N104,0,0
S1,0,1690,Bridge start,N104,55141,1
S1,0,1691,Bridge end,N104,0,0
S1,0,1702,Bridge start,N104,0,0
S1,0,1703,Bridge end,N104,0,0
S1,0,1372,Bridge start,N102,18502,1
S1,0,1373,Bridge End,N102,45695,1
S1,0,1402,Bridge start,N102,46996,1
S1,0,1403,Bridge End,N102,42221,1
S1,0,1406,Bridge start,N102,41559,1
S1,0,1407,Bridge End,N102,34983,1
S1,0,1416,Bridge start,N102,49676,1
S1,0,1417,Bridge End,N102,48392,1
S1,0,1421,Bridge start,N102,47136,1
S1,0,1422,Bridge End,N102,0,0
S1,0,1425,Bridge start,N102,49540,1
S1,0,1426,Bridge End,N102,21991,1
S1,0,1430,Bridge start,N102,19980,1
S1,0,1431,Bridge End,N102,0,0
S1,0,1435,Bridge start,N102,17968,1
S1,0,1436,Bridge End,N102,4586,1
S1,0,1437,Bridge start,N102,50070,1
S1,0,1438,Bridge End,N102,0,0
S1,0,1443,Bridge start,N102,48909,1
S1,0,1444,Bridge end,N102,0,0
S1,0,1445,Bridge start,N102,0,0
S1,0,1446,Bridge end,N102,0,0
S1,0,1449,Bridge start,N102,20415,1
S1,0,1450,Bridge End,N102,43666,1
S1,0,1451,Bridge start,N102,20286,1
S1,0,1452,Bridge End,N102,50994,1
S1,0,1454,Bridge start,N102,70576,1
S1,0,1455,Bridge End,N102,0,0
S1,0,1459,Bridge start,N102,52023,1
S1,0,1460,Bridge End,N102,0,0
S1,0,1463,Bridge start,N102,51007,1
S1,0,1464,Bridge End,N102,14362,1
S1,0,1467,Bridge start / Bridge End,N102,52595,1
S1,0,1476,Bridge start,N102,50548,1
S1,0,1477,Bridge End,N102,0,0
S1,0,1478,Bridge start,N102,40405,1
S1,0,1479,Bridge End,N102,0,0
S1,0,1483,Bridge start,N102,50843,1
S1,0,1484,Bridge End,N102,20810,1
S1,0,1490,Bridge start,N102,54118,1
S1,0,1491,Bridge End,N102,0,0
S1,0,1494,Bridge start,N102,0,0
S1,0,1495,Bridge End,N102,21157,1
S1,0,1499,Bridge start,N102,53479,1
S1,0,1500,Bridge End,N102,0,0
S1,0,1502,Bridge start,N102,0,0
S1,0,1503,Bridge end,N102,0,0
S1,0,1506,Bridge start,N102,53839,1
S1,0,1507,Bridge End,N102,52193,1
S1,0,1511,Bridge start,N102,0,0
S1,0,1512,Bridge End,N102,98431,1
S1,0,1515,Bridge start,N102,54034,1
S1,0,1516,Bridge End,N102,0,0
S1,0,1519,Bridge start,N102,0,0
S1,0,1520,Bridge End,N102,0,0
S1,0,1521,Km post missing / Bridge start,N102,0,0
S1,0,1522,Bridge End,N102,0,0
S1,0,1529,Bridge start,N102,54424,1
S1,0,1530,Bridge End,N102,0,0
S1,0,1533,Bridge start,N102,0,0
S1,0,1534,Bridge End,N102,0,0
S1,0,1541,Start of Bridge,N102,0,0
S1,0,1543,End of Bridge,N102,0,0
S1,0,1547,Bridge start,N102,54627,1
S1,0,1548,Bridge End,N102,0,0
S1,0,1554,Bridge Start,N102,0,0
S1,0,1555,Bridge End,N102,0,0
S1,0,1562,Bridge Start,N102,0,0
S1,0,1563,Bridge End,N102,19041,1
S1,0,3240,Bridge start,N204,17941,1
S1,0,3241,Bridge end,N204,18358,1
S1,0,3256,Bridge start,N204,21852,1
S1,0,3257,Bridge end,N204,21601,1
S1,0,3278,Bridge start,N204,47320,1
S1,0,3279,Bridge end,N204,22011,1
S1,0,3283,Bridge start,N204,42341,1
S1,0,3284,Bridge end,N204,20252,1
S1,0,3285,Bridge start,N204,54902,1
S1,0,3286,Bridge end,N204,55462,1
S1,0,3296,Bridge start,N204,21608,1
S1,0,3297,Bridge end,N204,51265,1
S1,0,3320,Bridge start,N204,20757,1
S1,0,3321,Bridge end,N204,53600,1
S1,0,3348,Bridge Start,N207,40918,1
S1,0,3349,Bridge end,N207,18031,1
S1,0,3351,Bridge start,N207,19296,1
S1,0,3352,Bridge end,N207,21448,1
S1,0,3354,Bridge start,N207,52586,1
S1,0,3355,Bridge end,N207,50910,1
S1,0,3358,Bridge start,N207,39443,1
S1,0,3359,Bridge end,N207,47704,1
S1,0,3386,Bridge start,N207,17272,1
S1,0,3387,Bridge end,N207,48392,1
S1,0,3390,Bridge start,N207,21103,1
S1,0,3391,Bridge end,N207,43820,1
S1,0,3398,Bridge start,N207,54099,1
S1,0,3399,Bridge end,N207,22271,1
S1,0,3415,Bridge start,N207,54651,1
S1,0,3416,Bridge end,N207,38617,1
S1,0,3462,Bridge start,N207,0,0
S1,0,3463,Bridge end,N207,56468,1
S1,0,3485,Bridge start,N207,0,0
S1,0,3486,Bridge end,N207,0,0
S1,0,3495,Bridge start,N207,0,0
S1,0,3496,Bridge end,N207,0,0
S1,0,3500,Bridge start,N207,48816,1
S1,0,3501,Bridge end,N207,0,0
S1,0,3503,Bridge start,N207,0,0
S1,0,3504,Bridge end,N207,0,0
S1,0,1727,Bridge Start,N105,4853,1
S1,0,1728,Bridge end,N105,5756,1
S1,0,1732,Bridge Start,N105,2643,1
S1,0,1733,Bridge end,N105,2126,1
S1,0,1736,Bridge Start,N105,2342,1
S1,0,1737,Bridge end,N105,2912,1
S1,0,1753,"km Post missing / Bridge Start, Kanchon Bridge",N105,0,0
S1,0,1754,Bridge end,N105,5959,1
S1,0,1778,Bridge Start,N105,2646,1
S1,0,1779,Bridge end,N105,0,0
S1,0,1786,"Gazipur 17 km, Tangail 75 km, Bangabandhu 98 km, / Bridge start",N105,0,0
S1,0,1787,Bridge end,N105,2666,1
S1,0,14,Kachpur bridge,N1,25806,1
S1,0,15,Bridge end,N1,59271,1
S1,0,26,Bridge start,N1,87878,1
S1,0,27,Bridge end,N1,117027,1
S1,0,36,Langalbandhu bridge,N1,108281,1
S1,0,37,Bridge end,N1,60657,1
S1,0,39,Bridge start,N1,89477,1
S1,0,40,Bridge end,N1,146632,1
S1,0,41,Bridge start,N1,55351,1
S1,0,42,Bridge end,N1,147709,1
S1,0,44,Bridge start,N1,29286,1
S1,0,45,Bridge end,N1,141169,1
S1,0,51,Bridge start,N1,146963,1
S1,0,52,Bridge end,N1,247834,1
S1,0,56,Bridge start,N1,149810,1
S1,0,57,Bridge end,N1,48656,1
S1,0,58,Bridge start,N1,0,0
S1,0,59,Bridge end,N1,0,0
S1,0,61,Meghna  bridge,N1,151210,1
S1,0,63,Bridge end,N1,140152,1
S1,0,69,Bridge start,N1,150659,1
S1,0,71,Bridge end,N1,150088,1
S1,0,72,Bridge start,N1,108244,1
S1,0,73,Bridge end,N1,149464,1
S1,0,75,Bridge start,N1,37891,1
S1,0,76,Bridge end,N1,61321,1
S1,0,78,Bridge start,N1,146227,1
S1,0,79,Bridge end,N1,132305,1
S1,0,80,Bridge start,N1,0,0
S1,0,81,Bridge end,N1,0,0
S1,0,84,Bridge start,N1,131688,1
S1,0,85,Bridge end,N1,50134,1
S1,0,89,Bridge start,N1,54452,1
S1,0,90,Bridge end,N1,144045,1
S1,0,94,Bridge start,N1,120357,1
S1,0,95,Bridge end,N1,0,0
S1,0,98,Daudkandi bridge,N1,31328,1
S1,0,101,Daudkandi bridge,N1,133251,1
S1,0,104,Bridge start,N1,55212,1
S1,0,105,Bridge end,N1,0,0
S1,0,111,Bridge start,N1,123241,1
S1,0,112,Bridge end,N1,0,0
S1,0,124,Bridge start,N1,0,0
S1,0,125,Bridge end,N1,0,0
S1,0,128,Bridge start,N1,129462,1
S1,0,129,Bridge end,N1,0,0
S1,0,137,Bridge start,N1,0,0
S1,0,138,Bridge end,N1,0,0
S1,0,165,Bridge start,N1,0,0
S1,0,166,Bridge end,N1,0,0
S1,0,193,Bridge start,N1,0,0
S1,0,194,Bridge end,N1,0,0
S1,0,200,Bridge start,N1,0,0
S1,0,201,Bridge end,N1,0,0
