truck_id,source_id,source_road,generated_at_step,removed_at_step,travel_time_min,travel_distance_m,sink_id,sink_road,scenario,replication
Truck236,0,N1,84,95,11,8361.824044117646,2346,N2,S0,0
Truck220,1710,N105,81,96,15,11286.841911431562,0,N1,S0,0
Truck35,1574,N102,12,97,85,67954.89974603387,1356,N102,S0,0
Truck54,2346,N2,18,97,79,62522.65011580468,1356,N102,S0,0
Truck72,1587,N104,24,97,73,58244.67283261178,1356,N102,S0,0
Truck240,0,N1,87,98,11,8361.824044117646,2346,N2,S0,0
Truck64,1710,N105,24,99,75,59502.63224849072,1356,N102,S0,0
Truck66,1356,N102,24,99,75,59502.63224849069,1710,N105,S0,0
Truck121,1709,N104,42,99,57,45539.23563910388,1587,N104,S0,0
Truck224,1710,N105,84,99,15,11286.841911431562,0,N1,S0,0
Truck115,1826,N105,42,100,58,46164.99061658157,1710,N105,S0,0
Truck171,3329,N204,60,100,40,31360.076986546203,3237,N204,S0,0
Truck34,1356,N102,12,101,89,70624.47415992226,0,N1,S0,0
Truck202,3237,N204,72,101,29,22927.921764430062,1356,N102,S0,0
Truck71,3511,N207,24,102,78,61712.07469908522,3346,N207,S0,0
Truck78,1710,N105,27,102,75,59502.63224849072,1356,N102,S0,0
Truck262,3346,N207,96,102,6,4778.025000000019,3237,N204,S0,0
Truck53,1574,N102,18,103,85,67954.89974603387,1356,N102,S0,0
Truck254,0,N1,93,104,11,8361.824044117646,2346,N2,S0,0
Truck84,1356,N102,30,105,75,59502.63224849069,1710,N105,S0,0
Truck137,1709,N104,48,105,57,45539.23563910388,1587,N104,S0,0
Truck161,1826,N105,60,105,45,35419.96612285012,2346,N2,S0,0
Truck5,3231,N2,0,106,106,84651.50366666683,3346,N207,S0,0
Truck129,1826,N105,48,106,58,46164.99061658157,1710,N105,S0,0
Truck278,2346,N2,102,106,4,3185.017867313915,1710,N105,S0,0
Truck67,1574,N102,24,109,85,67954.89974603387,1356,N102,S0,0
Truck104,1587,N104,36,109,73,58244.67283261178,1356,N102,S0,0
Truck143,1826,N105,51,109,58,46164.99061658157,1710,N105,S0,0
Truck96,1710,N105,36,111,75,59502.63224849072,1356,N102,S0,0
