scenario,replication,bridge_id,bridge_name,road,condition,vulnerability_score,vuln_level,total_delay_min,breakdown_count,trucks_passed
S2,0,1602,Bridge start,N104,D,6.4,High,0,0,1252
S2,0,1603,Bridge end,N104,D,6.4,High,0,0,1252
S2,0,1610,Bridge start,N104,D,6.4,High,0,0,1253
S2,0,1611,Bridge end,N104,D,6.4,High,0,0,1253
S2,0,1633,Bridge start,N104,D,8.0,High,0,0,1255
S2,0,1634,Bridge end,N104,D,8.0,High,0,0,1255
S2,0,1657,Bridge start,N104,D,8.0,High,18907,1,1260
S2,0,1658,Bridge end,N104,C,6.0,Medium-High,0,0,1260
S2,0,1663,Bridge start,N104,D,8.0,High,0,0,1260
S2,0,1664,Bridge end,N104,C,6.0,Medium-High,0,0,1260
S2,0,1673,Bridge start,N104,D,8.0,High,0,0,1260
S2,0,1674,Bridge end,N104,D,8.0,High,0,0,1260
S2,0,1685,Bridge start,N104,D,8.0,High,0,0,1260
S2,0,1686,Bridge end,N104,C,6.0,Medium-High,0,0,1260
S2,0,1690,Bridge start,N104,D,8.0,High,0,0,1260
S2,0,1691,Bridge end,N104,C,6.0,Medium-High,0,0,1260
S2,0,1702,Bridge start,N104,C,6.0,Medium-High,0,0,1261
S2,0,1703,Bridge end,N104,C,6.0,Medium-High,0,0,1261
S2,0,14,Kachpur bridge,N1,D,6.0,Medium-High,0,0,3450
S2,0,15,Bridge end,N1,D,6.0,Medium-High,0,0,3450
S2,0,26,Bridge start,N1,D,6.0,Medium-High,0,0,4880
S2,0,27,Bridge end,N1,D,6.0,Medium-High,0,0,4880
S2,0,36,Langalbandhu bridge,N1,D,6.0,Medium-High,0,0,5796
S2,0,37,Bridge end,N1,D,6.0,Medium-High,0,0,5796
S2,0,39,Bridge start,N1,D,6.0,Medium-High,0,0,5796
S2,0,40,Bridge end,N1,D,6.0,Medium-High,0,0,5796
S2,0,41,Bridge start,N1,D,6.0,Medium-High,0,0,5796
S2,0,42,Bridge end,N1,D,6.0,Medium-High,0,0,5796
S2,0,44,Bridge start,N1,D,6.0,Medium-High,0,0,5796
S2,0,45,Bridge end,N1,D,6.0,Medium-High,0,0,5796
S2,0,51,Bridge start,N1,D,6.0,Medium-High,0,0,5794
S2,0,52,Bridge end,N1,D,6.0,Medium-High,0,0,5794
S2,0,56,Bridge start,N1,D,6.0,Medium-High,216862,1,5806
S2,0,57,Bridge end,N1,D,6.4,High,0,0,5791
S2,0,58,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5791
S2,0,59,Bridge end,N1,B,3.0,Medium-Low,0,0,5791
S2,0,61,Meghna  bridge,N1,D,6.0,Medium-High,0,0,5791
S2,0,63,Bridge end,N1,D,6.4,High,0,0,5791
S2,0,69,Bridge start,N1,D,6.4,High,0,0,5791
S2,0,71,Bridge end,N1,D,6.0,Medium-High,0,0,5791
S2,0,72,Bridge start,N1,D,6.4,High,0,0,5791
S2,0,73,Bridge end,N1,D,6.4,High,215826,1,5801
S2,0,75,Bridge start,N1,D,6.4,High,0,0,5784
S2,0,76,Bridge end,N1,D,6.4,High,0,0,5784
S2,0,78,Bridge start,N1,D,6.4,High,0,0,5782
S2,0,79,Bridge end,N1,D,6.4,High,218324,1,5797
S2,0,80,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5782
S2,0,81,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5782
S2,0,84,Bridge start,N1,D,6.4,High,0,0,5782
S2,0,85,Bridge end,N1,D,6.4,High,0,0,5782
S2,0,89,Bridge start,N1,D,6.4,High,0,0,5782
S2,0,90,Bridge end,N1,D,6.4,High,0,0,5782
S2,0,94,Bridge start,N1,D,6.4,High,0,0,5780
S2,0,95,Bridge end,N1,C,4.800000000000001,Medium-High,216859,1,5791
S2,0,98,Daudkandi bridge,N1,D,6.4,High,86874,1,5782
S2,0,101,Daudkandi bridge,N1,D,6.0,Medium-High,0,0,5777
S2,0,104,Bridge start,N1,D,6.4,High,0,0,5777
S2,0,105,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5777
S2,0,111,Bridge start,N1,D,6.4,High,0,0,5776
S2,0,112,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5776
S2,0,124,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5779
S2,0,125,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5779
S2,0,128,Bridge start,N1,D,6.4,High,216894,1,5792
S2,0,129,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5780
S2,0,137,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5779
S2,0,138,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5779
S2,0,165,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5772
S2,0,166,Bridge end,N1,B,3.2,Medium-Low,0,0,5772
S2,0,193,Bridge start,N1,B,4.0,Medium-Low,0,0,4483
S2,0,194,Bridge end,N1,A,2.0,Low,0,0,4483
S2,0,200,Bridge start,N1,C,6.0,Medium-High,0,0,4483
S2,0,201,Bridge end,N1,B,4.0,Medium-Low,0,0,4483
S2,0,206,Bridge start,N1,D,8.0,High,0,0,4483
S2,0,207,Bridge end,N1,C,6.0,Medium-High,0,0,4483
S2,0,213,Bridge start,N1,C,6.0,Medium-High,168735,1,4503
S2,0,214,Bridge end,N1,D,8.0,High,0,0,4497
S2,0,221,Bridge start,N1,C,6.0,Medium-High,0,0,4499
S2,0,222,Bridge end,N1,Unknown,2.0,Low,0,0,4500
S2,0,227,Bridge start,N1,D,8.0,High,0,0,4498
S2,0,228,Bridge end,N1,A,2.0,Low,0,0,4498
S2,0,233,Bridge start,N1,D,8.0,High,0,0,4498
S2,0,234,Bridge end,N1,C,6.0,Medium-High,170145,1,4513
S2,0,238,Bridge start,N1,D,6.4,High,0,0,4508
S2,0,239,Bridge end,N1,B,3.2,Medium-Low,0,0,4508
S2,0,241,Bridge start,N1,B,3.2,Medium-Low,0,0,4508
