scenario,replication,bridge_id,bridge_name,road,condition,vulnerability_score,vuln_level,total_delay_min,breakdown_count,trucks_passed
S4,0,1602,Bridge start,N104,D,6.4,High,0,0,1224
S4,0,1603,Bridge end,N104,D,6.4,High,44851,1,1227
S4,0,1610,Bridge start,N104,D,6.4,High,0,0,1228
S4,0,1611,Bridge end,N104,D,6.4,High,46355,1,1235
S4,0,1633,Bridge start,N104,D,8.0,High,0,0,1236
S4,0,1634,Bridge end,N104,D,8.0,High,0,0,1236
S4,0,1657,Bridge start,N104,D,8.0,High,18649,1,1241
S4,0,1658,Bridge end,N104,C,6.0,Medium-High,0,0,1241
S4,0,1663,Bridge start,N104,D,8.0,High,0,0,1241
S4,0,1664,Bridge end,N104,C,6.0,Medium-High,0,0,1241
S4,0,1673,Bridge start,N104,D,8.0,High,0,0,1243
S4,0,1674,Bridge end,N104,D,8.0,High,47109,1,1249
S4,0,1685,Bridge start,N104,D,8.0,High,0,0,1250
S4,0,1686,Bridge end,N104,C,6.0,Medium-High,0,0,1250
S4,0,1690,Bridge start,N104,D,8.0,High,0,0,1250
S4,0,1691,Bridge end,N104,C,6.0,Medium-High,0,0,1250
S4,0,1702,Bridge start,N104,C,6.0,Medium-High,0,0,1251
S4,0,1703,Bridge end,N104,C,6.0,Medium-High,0,0,1251
S4,0,14,Kachpur bridge,N1,D,6.0,Medium-High,0,0,3335
S4,0,15,Bridge end,N1,D,6.0,Medium-High,0,0,3335
S4,0,26,Bridge start,N1,D,6.0,Medium-High,0,0,4570
S4,0,27,Bridge end,N1,D,6.0,Medium-High,0,0,4570
S4,0,36,Langalbandhu bridge,N1,D,6.0,Medium-High,0,0,5368
S4,0,37,Bridge end,N1,D,6.0,Medium-High,0,0,5368
S4,0,39,Bridge start,N1,D,6.0,Medium-High,0,0,5368
S4,0,40,Bridge end,N1,D,6.0,Medium-High,0,0,5368
S4,0,41,Bridge start,N1,D,6.0,Medium-High,0,0,5368
S4,0,42,Bridge end,N1,D,6.0,Medium-High,0,0,5368
S4,0,44,Bridge start,N1,D,6.0,Medium-High,0,0,5368
S4,0,45,Bridge end,N1,D,6.0,Medium-High,0,0,5368
S4,0,51,Bridge start,N1,D,6.0,Medium-High,0,0,5367
S4,0,52,Bridge end,N1,D,6.0,Medium-High,0,0,5367
S4,0,56,Bridge start,N1,D,6.0,Medium-High,201030,1,5378
S4,0,57,Bridge end,N1,D,6.4,High,0,0,5363
S4,0,58,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5363
S4,0,59,Bridge end,N1,B,3.0,Medium-Low,0,0,5363
S4,0,61,Meghna  bridge,N1,D,6.0,Medium-High,0,0,5363
S4,0,63,Bridge end,N1,D,6.4,High,0,0,5363
S4,0,69,Bridge start,N1,D,6.4,High,0,0,5365
S4,0,71,Bridge end,N1,D,6.0,Medium-High,203099,1,5392
S4,0,72,Bridge start,N1,D,6.4,High,0,0,5368
S4,0,73,Bridge end,N1,D,6.4,High,203136,1,5386
S4,0,75,Bridge start,N1,D,6.4,High,0,0,5373
S4,0,76,Bridge end,N1,D,6.4,High,0,0,5373
S4,0,78,Bridge start,N1,D,6.4,High,0,0,5373
S4,0,79,Bridge end,N1,D,6.4,High,201498,1,5383
S4,0,80,Bridge start,N1,C,4.800000000000001,Medium-High,201426,1,5386
S4,0,81,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5369
S4,0,84,Bridge start,N1,D,6.4,High,201766,1,5383
S4,0,85,Bridge end,N1,D,6.4,High,0,0,5371
S4,0,89,Bridge start,N1,D,6.4,High,0,0,5371
S4,0,90,Bridge end,N1,D,6.4,High,0,0,5371
S4,0,94,Bridge start,N1,D,6.4,High,0,0,5370
S4,0,95,Bridge end,N1,C,4.800000000000001,Medium-High,202230,1,5384
