scenario,replication,bridge_id,bridge_name,road,condition,vulnerability_score,vuln_level,total_delay_min,breakdown_count,trucks_passed
S1,0,2349,Bridge start,N2,D,6.0,Medium-High,0,0,217
S1,0,2350,Bridge end,N2,D,6.0,Medium-High,0,0,217
S1,0,2365,Bridge start,N2,D,6.0,Medium-High,0,0,217
S1,0,2366,Bridge end,N2,D,6.0,Medium-High,0,0,217
S1,0,2376,Bridge start,N2,D,6.0,Medium-High,0,0,217
S1,0,2377,Bridge end,N2,D,6.0,Medium-High,0,0,217
S1,0,2409,Bridge start,N2,D,6.0,Medium-High,0,0,217
S1,0,2410,Bridge end,N2,D,6.0,Medium-High,0,0,217
S1,0,2425,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2426,Bridge end,N2,C,4.5,Medium-High,0,0,218
S1,0,2428,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2429,Bridge end,N2,D,6.0,Medium-High,0,0,218
S1,0,2455,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2456,Bridge end,N2,D,6.0,Medium-High,0,0,218
S1,0,2482,Bridge start,N2,C,4.5,Medium-High,0,0,218
S1,0,2483,Bridge end,N2,D,6.0,Medium-High,0,0,218
S1,0,2489,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2490,Bridge end,N2,C,4.5,Medium-High,0,0,218
S1,0,2491,Bridge start,N2,C,4.5,Medium-High,0,0,218
S1,0,2492,Bridge end,N2,A,1.5,Low,0,0,218
S1,0,2497,Bridge start,N2,C,4.5,Medium-High,0,0,218
S1,0,2498,Bridge end,N2,C,4.5,Medium-High,0,0,218
S1,0,2503,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2504,Bridge end,N2,D,6.0,Medium-High,0,0,218
S1,0,2506,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2507,Bridge end,N2,C,4.5,Medium-High,0,0,218
S1,0,2511,Bridge start,N2,B,3.0,Medium-Low,0,0,218
S1,0,2512,Bridge end,N2,Unknown,1.5,Low,0,0,218
S1,0,2517,Bridge start,N2,C,4.5,Medium-High,0,0,218
S1,0,2518,Bridge end,N2,B,3.0,Medium-Low,0,0,218
S1,0,2524,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2525,Bridge end/ Start of Kishoreganj road Division / Bridge end/ Start of Kishoreganj road Division,N2,B,3.0,Medium-Low,0,0,218
S1,0,2527,Bridge start,N2,D,6.0,Medium-High,0,0,218
S1,0,2528,Bridge end,N2,C,4.5,Medium-High,0,0,218
S1,0,2536,Bhairab Bridge,N2,B,3.0,Medium-Low,0,0,219
S1,0,2538,Bridge end,N2,C,4.5,Medium-High,0,0,219
S1,0,2550,Bridge start,N2,D,6.0,Medium-High,0,0,219
