scenario,replication,bridge_id,bridge_name,road,condition,vulnerability_score,vuln_level,total_delay_min,breakdown_count,trucks_passed
S0,0,1602,Bridge start,N104,D,6.4,High,0,0,1237
S0,0,1603,Bridge end,N104,D,6.4,High,0,0,1237
S0,0,1610,Bridge start,N104,D,6.4,High,0,0,1237
S0,0,1611,Bridge end,N104,D,6.4,High,0,0,1237
S0,0,1633,Bridge start,N104,D,8.0,High,0,0,1239
S0,0,1634,Bridge end,N104,D,8.0,High,0,0,1239
S0,0,1657,Bridge start,N104,D,8.0,High,0,0,1242
S0,0,1658,Bridge end,N104,C,6.0,Medium-High,0,0,1242
S0,0,1663,Bridge start,N104,D,8.0,High,0,0,1242
S0,0,1664,Bridge end,N104,C,6.0,Medium-High,0,0,1242
S0,0,1673,Bridge start,N104,D,8.0,High,0,0,1242
S0,0,1674,Bridge end,N104,D,8.0,High,0,0,1242
S0,0,1685,Bridge start,N104,D,8.0,High,0,0,1243
S0,0,1686,Bridge end,N104,C,6.0,Medium-High,0,0,1243
S0,0,1690,Bridge start,N104,D,8.0,High,0,0,1243
S0,0,1691,Bridge end,N104,C,6.0,Medium-High,0,0,1243
S0,0,1702,Bridge start,N104,C,6.0,Medium-High,0,0,1244
S0,0,1703,Bridge end,N104,C,6.0,Medium-High,0,0,1244
S0,0,14,Kachpur bridge,N1,D,6.0,Medium-High,0,0,3458
S0,0,15,Bridge end,N1,D,6.0,Medium-High,0,0,3458
S0,0,26,Bridge start,N1,D,6.0,Medium-High,0,0,4850
S0,0,27,Bridge end,N1,D,6.0,Medium-High,0,0,4850
S0,0,36,Langalbandhu bridge,N1,D,6.0,Medium-High,0,0,5732
S0,0,37,Bridge end,N1,D,6.0,Medium-High,0,0,5732
S0,0,39,Bridge start,N1,D,6.0,Medium-High,0,0,5732
S0,0,40,Bridge end,N1,D,6.0,Medium-High,0,0,5732
S0,0,41,Bridge start,N1,D,6.0,Medium-High,0,0,5732
S0,0,42,Bridge end,N1,D,6.0,Medium-High,0,0,5732
S0,0,44,Bridge start,N1,D,6.0,Medium-High,0,0,5732
S0,0,45,Bridge end,N1,D,6.0,Medium-High,0,0,5732
S0,0,51,Bridge start,N1,D,6.0,Medium-High,0,0,5731
S0,0,52,Bridge end,N1,D,6.0,Medium-High,0,0,5731
S0,0,56,Bridge start,N1,D,6.0,Medium-High,0,0,5732
S0,0,57,Bridge end,N1,D,6.4,High,0,0,5732
S0,0,58,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5732
S0,0,59,Bridge end,N1,B,3.0,Medium-Low,0,0,5732
S0,0,61,Meghna  bridge,N1,D,6.0,Medium-High,0,0,5733
S0,0,63,Bridge end,N1,D,6.4,High,0,0,5733
S0,0,69,Bridge start,N1,D,6.4,High,0,0,5731
S0,0,71,Bridge end,N1,D,6.0,Medium-High,0,0,5731
S0,0,72,Bridge start,N1,D,6.4,High,0,0,5731
S0,0,73,Bridge end,N1,D,6.4,High,0,0,5731
S0,0,75,Bridge start,N1,D,6.4,High,0,0,5731
S0,0,76,Bridge end,N1,D,6.4,High,0,0,5731
S0,0,78,Bridge start,N1,D,6.4,High,0,0,5731
S0,0,79,Bridge end,N1,D,6.4,High,0,0,5731
S0,0,80,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5731
S0,0,81,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5731
S0,0,84,Bridge start,N1,D,6.4,High,0,0,5731
S0,0,85,Bridge end,N1,D,6.4,High,0,0,5731
