link_no,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length_km,heavy_truck,medium_truck,small_truck,large_bus,medium_bus,micro_bus,utility,car,auto_rickshaw,motorcycle,bicycle,cycle_rickshaw,cart,motorized_total,non_motorized_total,total_aadt,aadt,road
N3-8R,Master Bari (Int. with Z8034)-Rajendrapur (Int. with R312)(Left) (Right),LRP029,984,29.845,LRP034,135,34.028,4.183,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3
N3-9L,Rajendrapur(Int. with R312)-Bairagirchala(Int. with Z3009) (Left) (Left),LRP034,135,34.028,LRP045,370,44.872,10.844,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3
N3-9R,Rajendrapur(Int. with R312)-Bairagirchala(Int. with Z3009) (Left) (Right),LRP034,135,34.028,LRP045,370,44.872,10.844,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3
N3-10L,Bairagirchala (Int. with Z3009) -Mawna (Int.with R313)(Left) (Left),LRP045,370,44.872,LRP048,1306,48.846,3.974,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3
N3-10R,Bairagirchala (Int. with Z3009) -Mawna (Int.with R313)(Left) (Right),LRP045,370,44.872,LRP048,1306,48.846,3.974,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3
N3-11L,Mawna (Int.with R313)-Mawna (Int.with R314) (Left) (Left),LRP048,1306,48.846,LRP048,2016,49.556,0.710,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3
N3-11R,Mawna (Int.with R313)-Mawna (Int.with R314) (Left) (Right),LRP048,1306,48.846,LRP048,2016,49.556,0.710,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3
N3-12L,Mawna (Int.with R314) -Bhaluka (Int.with Z3030) (Left) (Left),LRP048,2016,49.556,LRP070,1086,70.291,20.735,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3
N3-12R,Mawna (Int.with R314) -Bhaluka (Int.with Z3030) (Left) (Right),LRP048,2016,49.556,LRP070,1086,70.291,20.735,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3
N3-13L,Bhaluka (Int.with Z3030)-Bhaluka (Int.with Z3031) (Left) (Left),LRP070,1086,70.291,LRP070,1090,70.295,0.004,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3
