road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry,link_no,heavy_truck,medium_truck,small_truck,criticality_score,flood_hazard,flood_cat,index_right,eq_hazard,eq_zone,int_cond_score,seismic_mult,flood_mult,max_hazard_mult,vulnerability_score,target_road,is_junction
N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,Box culvert,20,347.999999999999,Culvert,LRP010b,12.80155737704918,D,NOYAPARA CULVERT,link,POINT (90.5307216 23.6998608),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,Box culvert,21,414.0000000000015,Culvert,LRP010c,4.15,D,ADUPUR CULVERT,link,POINT (90.5337774 23.6974163),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,Km post missing,22,125.99999999999945,KmPost,,,,,link,POINT (90.5348052 23.6966386),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,Box culvert,23,381.99999999999966,Culvert,LRP011a,12.8524025974026,D,NAYABARI KASPUR BOX CULVERT,link,POINT (90.5376108 23.6943608),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,Box culvert,24,428.0000000000008,Culvert,LRP011b,14.081509433962266,D,BINGUL SLAB CULVERT,link,POINT (90.5410552 23.6922774),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,"Chittagong 248 km,Comilla 81 km",25,183.9999999999993,KmPost,,,,,link,POINT (90.5426108 23.6918052),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,11.745,LRP012a,23.6911108,90.5448886,BS,Bridge,Bridge start,26,14.478867313915858,Bridge,LRP012a,14.478867313915858,D,KHAS PARA BOX CULVERT,bridge,POINT (90.5448886 23.6911108),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,11.771,LRP012b,23.6910552,90.5451386,BE,Bridge,Bridge end,27,11.538999999999998,Bridge,LRP012b,11.538999999999998,D,DAWAN BAG BOX CULVERT,bridge,POINT (90.5451386 23.6910552),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,11.936,LRP012c,23.6904163,90.546583,,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),28,164.99999999999915,"SideRoad,Right",LRP012c,10.396875,D,NASHADPUR BOX CULVERT,link,POINT (90.546583 23.6904163),N1-5L,174.0,4965.0,3478.0,47799.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,N105,True
N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,"Ctg 247 km,Comilla 80 km",29,587.9999999999992,KmPost,,,,,link,POINT (90.5504167 23.6865274),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,Box culvert,30,148.00000000000148,Culvert,LRP013a,5.6,D,Madanpur Bridge.(L),link,POINT (90.5512778 23.6854997),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,13.524,LRP014,23.678166,90.5556111,,KmPost,Km post missing,31,851.9999999999985,KmPost,,,,,link,POINT (90.5556111 23.678166),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,14.524,LRP015,23.670916,90.5597778,,KmPost,Km post missing,32,1000.0,KmPost,,,,,link,POINT (90.5597778 23.670916),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,Box culvert,33,39.00000000000148,Culvert,LRP015a,15.885675675675676,D,CHANDORA CULVERT,link,POINT (90.5599722 23.6705827),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
