road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry,link_no,heavy_truck,medium_truck,small_truck,criticality_score,flood_hazard,flood_cat,index_right,eq_hazard,eq_zone,int_cond_score,seismic_mult,flood_mult,max_hazard_mult,vulnerability_score,target_road,is_junction
N1,267.689,LRP271b,22.2722493,92.0055278,,Culvert,Box culvert,640,270.00000000003865,Culvert,,,,,link,POINT (92.0055278 22.2722493),N1-46,24.0,1181.0,882.0,11273.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,268.205,LRP272,22.2676104,92.0058056,,KmPost,Km post missing,641,515.9999999999627,KmPost,,,,,link,POINT (92.0058056 22.2676104),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,268.831,LRP272a,22.2622222,92.0070556,BS,Bridge,Bridge start,642,26.829999999999995,Bridge,LRP272a,26.829999999999995,D,Mukterpur Bridge,bridge,POINT (92.0070556 22.2622222),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,268.845,LRP272b,22.26210145564516,92.00708382580645,BE,Bridge,Bridge end,643,14.000000000010004,Bridge,,,Unknown,,bridge,POINT (92.00708382580645 22.26210145564516),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,269.079,LRP272c,22.2600833,92.0075556,,Culvert,Box Culvert,644,233.99999999998045,Culvert,LRP272c,9.2,B,KHOLGHAR CUL,link,POINT (92.0075556 22.2600833),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,269.205,LRP273,22.259,92.0081389,,KmPost,Km post missing,645,125.99999999997635,KmPost,,,,,link,POINT (92.0081389 22.259),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,269.608,LRP273a,22.2557222,92.0096111,,Culvert,Box culvert,646,403.00000000002,Culvert,LRP273a,63.5,B,Bilay More Bridge,link,POINT (92.0096111 22.2557222),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,269.876,LRP273b,22.2538611,92.01125,,Culvert,Box culvert,647,267.99999999997226,Culvert,,,,,link,POINT (92.01125 22.2538611),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,270.205,LRP274,22.2517222,92.0133333,,KmPost,Km post missing,648,329.00000000000773,KmPost,,,,,link,POINT (92.0133333 22.2517222),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,270.548,LRP274a,22.249333,92.0152778,,Culvert,Box culvert,649,343.00000000001774,Culvert,LRP274a,47.5,A,RANG PANI STEEL BEAM AND RCC SLAB,link,POINT (92.0152778 22.249333),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,271.205,LRP275,22.2449997,92.019166,,KmPost,Km post missing,650,656.9999999999823,KmPost,,,,,link,POINT (92.019166 22.2449997),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,271.807,LRP275a,22.2410552,92.0215271,,Culvert,Box culvert,651,602.0000000000323,Culvert,LRP275a,62.025,A,Bangla Bazar Bridge,link,POINT (92.0215271 22.2410552),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,272.286,LRP275b,22.2371941,92.0230549,,Culvert,Box culvert,652,478.999999999985,Culvert,,,,,link,POINT (92.0230549 22.2371941),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,272.425,LRP276,22.236083,92.0234716,,KmPost,Info.Missing,653,139.00000000001,KmPost,,,,,link,POINT (92.0234716 22.236083),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,272.81,LRP276a,22.2327771,92.0245549,,Culvert,Box culvert,654,384.9999999999909,Culvert,LRP276a,28.5,B,ASUM BAZAR,link,POINT (92.0245549 22.2327771),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,272.989,LRP276b,22.2316938,92.0248882,BS,Bridge,Bridge start,655,178.99999999997362,Bridge,,,Unknown,,bridge,POINT (92.0248882 22.2316938),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,273.003,LRP276c,22.2315827,92.0249438,BE,Bridge,Bridge end,656,14.000000000010004,Bridge,,,Unknown,,bridge,POINT (92.0249438 22.2315827),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,273.219,LRP277,22.227916,92.0258882,,KmPost,Info.Missing,657,216.00000000000816,KmPost,,,,,link,POINT (92.0258882 22.227916),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,273.231,LRP277a,22.2278882,92.025916,BS,Bridge,Bridge start,658,4.07,Bridge,LRP277a,4.07,A,.,bridge,POINT (92.025916 22.2278882),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,273.243,LRP277b,22.2277771,92.0259438,BE,Bridge,Bridge end,659,3.6,Bridge,LRP277b,3.6,A,.,bridge,POINT (92.0259438 22.2277771),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,273.68,LRP277c,22.2240271,92.0270827,,Culvert,Box culvert,660,437.0000000000118,Culvert,,,,,link,POINT (92.0270827 22.2240271),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,274.219,LRP278,22.2192493,92.0278882,,KmPost,Km post missing,661,538.9999999999873,KmPost,,,,,link,POINT (92.0278882 22.2192493),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,274.467,LRP278a,22.2170549,92.0281382,,Culvert,Box culvert,662,247.99999999999045,Culvert,LRP278a,4.07,B,.,link,POINT (92.0281382 22.2170549),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,274.982,LRP278b,22.2131389,92.0304993,,"SideRoad,Left",Road To Dhupchheri (Z1026),663,515.0000000000432,"SideRoad,Left",,,,,link,POINT (92.0304993 22.2131389),N1-46,24.0,1181.0,882.0,11273.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,True
N1,275.219,LRP279,22.2116111,92.0318049,,KmPost,Km post missing,664,236.99999999996635,KmPost,,,,,link,POINT (92.0318049 22.2116111),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,275.761,LRP279a,22.2084444,92.0356663,BS,Bridge,Bridge start,665,146.25,Bridge,LRP279a,146.25,C,Sangu Bridge,bridge,POINT (92.0356663 22.2084444),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,3.0,1.5,1.0,1.5,4.5,,False
N1,275.816,LRP279b,22.2080278,92.0357774,BE,Bridge,Bridge end,666,54.99999999994998,Bridge,,,Unknown,,bridge,POINT (92.0357774 22.2080278),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,276.102,LRP279c,22.2059444,92.0370274,BS,Bridge,Bridge start,667,11.9,Bridge,LRP279c,11.9,B,.,bridge,POINT (92.0370274 22.2059444),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,276.114,LRP279d,22.2058889,92.0371386,BE,Bridge,Bridge end,668,12.000000000000457,Bridge,,,Unknown,,bridge,POINT (92.0371386 22.2058889),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,276.219,LRP280,22.2054167,92.0380274,,KmPost,Km post missing,669,105.0000000000182,KmPost,,,,,link,POINT (92.0380274 22.2054167),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,277.313,LRP281,22.1977774,92.0433886,,KmPost,Info.Missing,670,1093.999999999994,KmPost,,,,,link,POINT (92.0433886 22.1977774),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,278.013,LRP281a,22.1917219,92.0453608,,"SideRoad,Right",Road to Barma (Z1036),671,699.9999999999886,"SideRoad,Right",LRP281a,17.516666666666666,A,NOLJURI,link,POINT (92.0453608 22.1917219),N1-47,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,True
N1,278.326,LRP282,22.1897497,92.046583,,KmPost,Info.Missing,672,313.000000000045,KmPost,,,,,link,POINT (92.046583 22.1897497),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,279.339,LRP283,22.1822771,92.0513889,,KmPost,Info.Missing,673,1012.9999999999768,KmPost,,,,,link,POINT (92.0513889 22.1822771),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,280.16,LRP283a,22.1750827,92.0528611,,Culvert,Box culvert,674,821.0000000000264,Culvert,LRP283a,27.95,A,Noyakhalar Muk Bridge,link,POINT (92.0528611 22.1750827),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,280.339,LRP284,22.1735827,92.0534167,,KmPost,Km post missing,675,178.99999999997362,KmPost,,,,,link,POINT (92.0534167 22.1735827),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,281.339,LRP285,22.1652222,92.0548889,,KmPost,Km post missing,676,1000.0,KmPost,,,,,link,POINT (92.0548889 22.1652222),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,282.339,LRP286,22.1629722,92.0641944,,KmPost,Km post missing,677,1000.0,KmPost,,,,,link,POINT (92.0641944 22.1629722),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,282.854,LRP286a,22.1596667,92.0674716,BS,Bridge,Bridge start,678,5.1,Bridge,LRP286a,5.1,C,.,bridge,POINT (92.0674716 22.1596667),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,3.0,1.5,1.6,1.6,4.800000000000001,,False
N1,283.071,LRP286b,22.1580556,92.0686104,BE,Bridge,Bridge end,679,6.15,Bridge,LRP286b,6.15,A,KARANERHAT CULVERT,bridge,POINT (92.0686104 22.1580556),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,283.339,LRP287,22.156,92.0701104,,KmPost,Km post missing,680,267.99999999997226,KmPost,,,,,link,POINT (92.0701104 22.156),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,284.003,LRP287a,22.1509722,92.0696938,BS,Bridge,Bridge start,681,8.125,Bridge,LRP287a,8.125,A,KOACHIA(MADARBHI),bridge,POINT (92.0696938 22.1509722),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,284.012,LRP287b,22.1508889,92.069666,BE,Bridge,Bridge end,682,9.000000000014552,Bridge,,,Unknown,,bridge,POINT (92.069666 22.1508889),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,284.218,LRP288,22.1491386,92.0696104,,KmPost,"Cox,s Bazar 111 km,Kasherhat 5 km",683,206.00000000001728,KmPost,,,,,link,POINT (92.0696104 22.1491386),N1-48,23.0,786.0,1237.0,9558.0,0.6,5.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,285.169,LRP289,22.1406663,92.0697771,,KmPost,Keranirhat 4 km,684,950.999999999965,KmPost,,,,,link,POINT (92.0697771 22.1406663),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,285.472,LRP289a,22.1379163,92.0698882,,Culvert,Box Culvert,685,302.99999999999727,Culvert,LRP289a,8.35,A,MITADIGI,link,POINT (92.0698882 22.1379163),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,285.973,LRP289b,22.1334441,92.0700827,,Culvert,Box Culvert,686,501.0000000000332,Culvert,,,,,link,POINT (92.0700827 22.1334441),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,286.134,LRP290,22.1320549,92.0701938,,KmPost,"Cox,s Bazar 109 km",687,161.00000000000136,KmPost,,,,,link,POINT (92.0701938 22.1320549),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,286.253,LRP290a,22.1308049,92.070416,BS,Bridge,Bridge start,688,118.99999999997137,Bridge,,,Unknown,,bridge,POINT (92.070416 22.1308049),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,286.314,LRP290b,22.1304716,92.0704993,BE,Bridge,Bridge end,689,61.00000000003547,Bridge,,,Unknown,,bridge,POINT (92.0704993 22.1304716),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,286.538,LRP290c,22.1285271,92.0708604,BS,Bridge,Bridge start,690,223.99999999998957,Bridge,,,Unknown,,bridge,POINT (92.0708604 22.1285271),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,286.569,LRP290d,22.1282771,92.070916,BE,Bridge,Bridge end,691,31.00000000000591,Bridge,,,Unknown,,bridge,POINT (92.070916 22.1282771),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,287.054,LRP291,22.1240271,92.0715827,,KmPost,Info.Missing,692,484.9999999999568,KmPost,,,,,link,POINT (92.0715827 22.1240271),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,287.064,LRP291a,22.123666,92.0716382,,Culvert,Box culvert,693,10.000000000047748,Culvert,LRP291a,20.9,B,RAJGHATA BRIDGE,link,POINT (92.0716382 22.123666),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,287.453,LRP291b,22.1208049,92.0719438,,Culvert,Box culvert,694,388.9999999999532,Culvert,LRP291b,4.1,A,.,link,POINT (92.0719438 22.1208049),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,288.054,LRP292,22.1151944,92.072416,,KmPost,Km post missing,695,600.9999999999991,KmPost,,,,,link,POINT (92.072416 22.1151944),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,288.336,LRP292a,22.1133056,92.0726938,,Culvert,Box culvert,696,282.0000000000391,Culvert,LRP292a,2.5,A,NOYA PARA BOX CULVERT,link,POINT (92.0726938 22.1133056),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,289.054,LRP293,22.1062222,92.0738049,,KmPost,Km post missing,697,717.9999999999609,KmPost,,,,,link,POINT (92.0738049 22.1062222),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,289.612,LRP293a,22.1021667,92.0740549,,"SideRoad,Left",Road to Bandarban(N108),698,558.0000000000496,"SideRoad,Left",LRP293a,12.6,A,PODUA BAZAR BOX CULVERT,link,POINT (92.0740549 22.1021667),N1-48,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,N108,True
N1,289.724,LRP293b,22.0993052,92.0743604,,Culvert,Box culvert,699,111.99999999996636,Culvert,,,,,link,POINT (92.0743604 22.0993052),N1-49,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,289.974,LRP293c,22.0977497,92.0750271,,"SideRoad,Right",Road to Satkaria (Z1019),700,250.0,"SideRoad,Right",LRP293c,6.0,A,PODUA BAZAR BOX CULVERT,link,POINT (92.0750271 22.0977497),N1-49,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,True
N1,290.004,LRP294,22.097583,92.0752216,,KmPost,Km post missing,701,30.00000000002956,KmPost,,,,,link,POINT (92.0752216 22.097583),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,290.616,LRP294a,22.0942219,92.0798604,,Culvert,Box culvert,702,611.9999999999663,Culvert,LRP294a,13.64,A,BARO AWLIA(R),link,POINT (92.0798604 22.0942219),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,290.838,LRP295,22.092833,92.0812493,,KmPost,"Cox,s Bazar 104 km",703,222.00000000003683,KmPost,,,,,link,POINT (92.0812493 22.092833),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,291.794,LRP296,22.0876941,92.088583,,KmPost,"Cox,s Bazar 103 km,Pasea 5 km",704,955.9999999999604,KmPost,,,,,link,POINT (92.088583 22.0876941),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,292.34,LRP296a,22.0844441,92.0924997,,Culvert,Box culvert,705,545.9999999999923,Culvert,LRP296a,2.0,A,AMIRABAD LOHAGOR BOX CULVERT,link,POINT (92.0924997 22.0844441),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,292.758,LRP297,22.0826104,92.0958886,,KmPost,"Cox,s Bazar 102 km,Pasha 3 km",706,418.0000000000064,KmPost,,,,,link,POINT (92.0958886 22.0826104),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,293.058,LRP297a,22.081166,92.0982774,,Culvert,Box culvert,707,300.00000000001137,Culvert,LRP297a,2.8,A,.,link,POINT (92.0982774 22.081166),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,293.758,LRP298,22.0752216,92.1001944,,KmPost,Km post missing,708,699.9999999999886,KmPost,,,,,link,POINT (92.1001944 22.0752216),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,294.462,LRP298a,22.0699438,92.1038333,BS,Bridge,Bridge start,709,2.9,Bridge,LRP298a,2.9,A,LOHAGORA L.S BOX CULVERT,bridge,POINT (92.1038333 22.0699438),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,294.495,LRP298b,22.0698049,92.104,BE,Bridge,Bridge end,710,33.00000000001546,Bridge,,,Unknown,,bridge,POINT (92.104 22.0698049),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,294.672,LRP299,22.0686938,92.10525,,KmPost,"Cox,s Bazar 100 km,Pasra 2 km",711,177.00000000002092,KmPost,,,,,link,POINT (92.10525 22.0686938),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,295.238,LRP299a,22.0641667,92.107,BS,Bridge,Bridge start,712,7.699999999999999,Bridge,LRP299a,7.699999999999999,A,DIGIRPARK BOX CULVERT,bridge,POINT (92.107 22.0641667),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,295.283,LRP299b,22.0638611,92.1070833,BE,Bridge,Bridge end,713,45.00000000001592,Bridge,,,Unknown,,bridge,POINT (92.1070833 22.0638611),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,295.663,LRP299c,22.0605556,92.1078056,,Culvert,Box culvert,714,379.99999999999545,Culvert,LRP299c,6.2,A,DIGIRPAR BOX CULVERT,link,POINT (92.1078056 22.0605556),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,295.672,LRP300,22.0604722,92.1078611,,KmPost,Km post missing,715,9.000000000014552,KmPost,,,,,link,POINT (92.1078611 22.0604722),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,296.095,LRP300a,22.0568611,92.1090833,,Culvert,Box culvert,716,423.0000000000018,Culvert,LRP300a,3.0,A,ZADUNAGOR FILLING BOX CULVERT,link,POINT (92.1090833 22.0568611),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,296.61,LRP300b,22.0522778,92.1091111,,Culvert,Box culvert,717,514.9999999999864,Culvert,LRP300b,12.4,A,ZADUNAPUR SHAPIR FILLING STATION -(2) BOX CULVERT,link,POINT (92.1091111 22.0522778),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,296.672,LRP301,22.0516944,92.1090278,,KmPost,Km post missing,718,62.00000000001182,KmPost,,,,,link,POINT (92.1090278 22.0516944),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,297.002,LRP301a,22.0486386,92.1082222,,Culvert,Box culvert,719,329.9999999999841,Culvert,LRP301a,14.2,A,ZADUNAGOR BUS STATION BOX CULVERT,link,POINT (92.1082222 22.0486386),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,297.441,LRP301b,22.0449719,92.1078333,,"SideRoad,Left",Road to Tonkabati (Z1013),720,438.9999999999645,"SideRoad,Left",LRP301b,23.1,B,Aadunagor bridge,link,POINT (92.1078333 22.0449719),N1-50,23.0,786.0,1237.0,9558.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,True
N1,297.536,LRP301c,22.0443052,92.1073056,,Culvert,Box culvert,721,95.00000000002728,Culvert,,,,,link,POINT (92.1073056 22.0443052),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,297.672,LRP302,22.0434441,92.1063056,,KmPost,Km post missing,722,136.0000000000241,KmPost,,,,,link,POINT (92.1063056 22.0434441),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,298.367,LRP302a,22.0379163,92.104,,Culvert,Box culvert,723,694.9999999999932,Culvert,LRP302a,15.916666666666666,B,HATIAR PULL PC GIDER BRIDGE,link,POINT (92.104 22.0379163),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,2.0,1.5,1.0,1.5,3.0,,False
N1,298.464,LRP303,22.037083,92.1039722,,KmPost,"Cox.s Bazar 96 km,Lohaona 3 km",724,96.99999999998,KmPost,,,,,link,POINT (92.1039722 22.037083),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,299.031,LRP303a,22.0320827,92.1041667,,Culvert,Box culvert,725,567.0000000000073,Culvert,LRP303a,2.5,A,MUSKAMPANI PARA BOX CULVERT,link,POINT (92.1041667 22.0320827),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,299.409,LRP303b,22.028916,92.1035556,,Bridge,Bridge start,726,377.9999999999859,Bridge,,,Unknown,,bridge,POINT (92.1035556 22.028916),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,299.464,LRP304,22.0284438,92.1032778,,KmPost,Km post missing,727,55.00000000000682,KmPost,,,,,link,POINT (92.1032778 22.0284438),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,299.483,LRP304a,22.0283327,92.1031944,,Bridge,Bridge end,728,5.4,Bridge,LRP304a,5.4,A,.,bridge,POINT (92.1031944 22.0283327),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,300.382,LRP305,22.020666,92.1015556,,KmPost,"Cox,s Bazar 94 km,Lohaona 1 km",729,899.0000000000009,KmPost,,,,,link,POINT (92.1015556 22.020666),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,300.396,LRP305a,22.0205549,92.1015,,Culvert,Box culvert,730,14.000000000010004,Culvert,LRP305a,22.4,A,Rataykul Bridge,link,POINT (92.1015 22.0205549),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,301.319,LRP306,22.0153056,92.094833,,KmPost,"Cox,s Bazar 93 km,Lohagora 6 km",731,923.0000000000018,KmPost,,,,,link,POINT (92.094833 22.0153056),N1-51,42.0,2364.0,1215.0,20823.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
