road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry
N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.,0,0.0,Others,,,,,link,POINT (90.443333 23.7060278)
N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,Box Culvert,1,814.0,Culvert,LRPSa,15.641024258760106,D,Kashinathpur Bridge,link,POINT (90.4504167 23.7029167)
N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,Intersection with Z1101,2,8.000000000000007,CrossRoad,LRPSb,12.752515337423311,D,TANARI BOTTOLA CULVERT,link,POINT (90.4504722 23.7027778)
N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,Km post missing,3,178.00000000000006,KmPost,,,,,link,POINT (90.4519722 23.7021389)
N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,Km post missing,4,1000.0,KmPost,,,,,link,POINT (90.4605833 23.6978886)
N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,Box culvert,5,129.9999999999999,Culvert,LRP002a,14.011918735891648,D,Brorechon,link,POINT (90.4616667 23.6973608)
N1,3.0,LRP003,23.693833,90.4691382,,KmPost,Km post missing,6,870.0000000000001,KmPost,,,,,link,POINT (90.4691382 23.693833)
N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,Km post missing,7,1000.0,KmPost,,,,,link,POINT (90.4787771 23.6936108)
N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",Road to Narayanganj(R111),8,174.99999999999983,"SideRoad,Right",LRP004a,6.8,D,Bypile Bridge,link,POINT (90.4805271 23.6938052)
N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,Km post missing,9,825.0000000000002,KmPost,,,,,link,POINT (90.4884997 23.6947497)
N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,Km post missing,10,1000.0,KmPost,,,,,link,POINT (90.4981941 23.6959163)
N1,7.0,LRP007,23.697333,90.50775,,KmPost,Km post missing,11,1000.0,KmPost,,,,,link,POINT (90.50775 23.697333)
N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,"R110,Left to Demra, Right to Narayanganj",12,181.00000000000006,CrossRoad,LRP007a,13.762440318302389,D,PASHIM CHARAKUL CUL,link,POINT (90.5092778 23.6979163)
N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,Km post missing,13,819.0,KmPost,,,,,link,POINT (90.5157222 23.7020556)
N1,8.011,LRP008a,23.7021111,90.5157778,BS,Bridge,Kachpur bridge,14,7.324999999999999,Bridge,LRP008a,7.324999999999999,D,.,bridge,POINT (90.5157778 23.7021111)
N1,8.429,LRP008b,23.7045833,90.5188327,BE,Bridge,Bridge end,15,20.49904411764706,Bridge,LRP008b,20.49904411764706,D,Kanch pur Bridge.,bridge,POINT (90.5188327 23.7045833)
N1,8.503,LRP009,23.7050278,90.5193327,,KmPost,"Chittagong 251 km,Comilla 84 km",16,73.99999999999984,KmPost,,,,,link,POINT (90.5193327 23.7050278)
N1,8.763,LRP009a,23.7060833,90.5215271,,"SideRoad,Left",Road to Sylhet (N2),17,259.9999999999998,"SideRoad,Left",LRP009a,11.624104046242774,D,.,link,POINT (90.5215271 23.7060833)
N1,9.503,LRP010,23.7025278,90.5273882,,KmPost,Km post missing,18,740.0000000000002,KmPost,,,,,link,POINT (90.5273882 23.7025278)
N1,9.615,LRP010a,23.7015278,90.5281938,,Culvert,Box culvert,19,112.0000000000001,Culvert,LRP010a,15.930758620689655,D,Fulbaria Bridge(Left),link,POINT (90.5281938 23.7015278)
N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,Box culvert,20,347.999999999999,Culvert,LRP010b,12.80155737704918,D,NOYAPARA CULVERT,link,POINT (90.5307216 23.6998608)
N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,Box culvert,21,414.0000000000015,Culvert,LRP010c,4.15,D,ADUPUR CULVERT,link,POINT (90.5337774 23.6974163)
N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,Km post missing,22,125.99999999999945,KmPost,,,,,link,POINT (90.5348052 23.6966386)
N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,Box culvert,23,381.99999999999966,Culvert,LRP011a,12.8524025974026,D,NAYABARI KASPUR BOX CULVERT,link,POINT (90.5376108 23.6943608)
N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,Box culvert,24,428.0000000000008,Culvert,LRP011b,14.081509433962266,D,BINGUL SLAB CULVERT,link,POINT (90.5410552 23.6922774)
N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,"Chittagong 248 km,Comilla 81 km",25,183.99999999999926,KmPost,,,,,link,POINT (90.5426108 23.6918052)
N1,11.745,LRP012a,23.6911108,90.5448886,BS,Bridge,Bridge start,26,14.478867313915858,Bridge,LRP012a,14.478867313915858,D,KHAS PARA BOX CULVERT,bridge,POINT (90.5448886 23.6911108)
N1,11.771,LRP012b,23.6910552,90.5451386,BE,Bridge,Bridge end,27,11.538999999999998,Bridge,LRP012b,11.538999999999998,D,DAWAN BAG BOX CULVERT,bridge,POINT (90.5451386 23.6910552)
N1,11.936,LRP012c,23.6904163,90.546583,,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),28,164.99999999999915,"SideRoad,Right",LRP012c,10.396875,D,NASHADPUR BOX CULVERT,link,POINT (90.546583 23.6904163)
