road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry
N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,"Ctg 247 km,Comilla 80 km",29,587.9999999999992,KmPost,,,,,link,POINT (90.5504167 23.6865274)
N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,Box culvert,30,148.00000000000148,Culvert,LRP013a,5.6,D,Madanpur Bridge.(L),link,POINT (90.5512778 23.6854997)
N1,13.524,LRP014,23.678166,90.5556111,,KmPost,Km post missing,31,851.9999999999985,KmPost,,,,,link,POINT (90.5556111 23.678166)
N1,14.524,LRP015,23.670916,90.5597778,,KmPost,Km post missing,32,1000.0,KmPost,,,,,link,POINT (90.5597778 23.670916)
N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,Box culvert,33,39.00000000000148,Culvert,LRP015a,15.885675675675676,D,CHANDORA CULVERT,link,POINT (90.5599722 23.6705827)
N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,Km post missing,34,960.9999999999985,KmPost,,,,,link,POINT (90.5641111 23.6628333)
N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",Road to MinanbariZ1061),35,411.00000000000136,"SideRoad,Right",LRP016a,15.506954732510286,D,BANTI BOX CULVERT,link,POINT (90.5671104 23.6604167)
N1,16.242,LRP016b,23.6591111,90.5697216,BS,Bridge,Langalbandhu bridge,36,11.682068965517242,Bridge,LRP016b,11.682068965517242,D,NEEMTOLI BRIDGE,bridge,POINT (90.5697216 23.6591111)
N1,16.402,LRP016c,23.6583056,90.5709993,BE,Bridge,Bridge end,37,7.243999999999999,Bridge,LRP016c,7.243999999999999,D,NURUTAL BOX CUL,bridge,POINT (90.5709993 23.6583056)
N1,16.524,LRP017,23.6575,90.5719716,,KmPost,Km post missing,38,121.99999999999989,KmPost,,,,,link,POINT (90.5719716 23.6575)
N1,16.831,LRP017a,23.6559722,90.5743327,BS,Bridge,Bridge start,39,15.144881516587676,Bridge,LRP017a,15.144881516587676,D,.,bridge,POINT (90.5743327 23.6559722)
N1,16.852,LRP017b,23.6559167,90.5745271,BE,Bridge,Bridge end,40,15.196555555555555,Bridge,LRP017b,15.196555555555555,D,.,bridge,POINT (90.5745271 23.6559167)
N1,17.204,LRP017c,23.6540556,90.5772771,BS,Bridge,Bridge start,41,8.497799999999998,Bridge,LRP017c,8.497799999999998,D,SHIMOLIA,bridge,POINT (90.5772771 23.6540556)
N1,17.234,LRP017d,23.6539167,90.5774993,BE,Bridge,Bridge end,42,11.442857142857145,Bridge,LRP017d,11.442857142857145,D,.,bridge,POINT (90.5774993 23.6539167)
N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,Km post missing,43,289.99999999999915,KmPost,,,,,link,POINT (90.5798882 23.6525278)
N1,17.863,LRP018a,23.6508889,90.5826382,BS,Bridge,Bridge start,44,6.0,Bridge,LRP018a,6.0,D,Darikandi Bridge (L),bridge,POINT (90.5826382 23.6508889)
N1,17.904,LRP018b,23.6506944,90.5829993,BE,Bridge,Bridge end,45,11.44093023255814,Bridge,LRP018b,11.44093023255814,D,Darikandi Bridge (R),bridge,POINT (90.5829993 23.6506944)
N1,18.524,LRP019,23.6476108,90.588083,,KmPost,Km post missing,46,620.000000000001,KmPost,,,,,link,POINT (90.588083 23.6476108)
N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,Box culvert,47,353.9999999999992,Culvert,LRP019a,5.125,D,.,link,POINT (90.5899163 23.6449441)
N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,Box culvert,48,643.0000000000007,Culvert,LRP019b,32.3065,D,Railway Flyover,link,POINT (90.5926941 23.6397497)
N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,Km post missing,49,3.0000000000001137,KmPost,,,,,link,POINT (90.5927219 23.6396941)
N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),50,519.9999999999995,"SideRoad,Left",LRP020a,17.791257485029938,D,KRIBORDI BOX CULVERT,link,POINT (90.5948052 23.6358608)
N1,20.342,LRP020b,23.6341108,90.5970274,BS,Bridge,Bridge start,51,13.226486486486486,Bridge,LRP020b,13.226486486486486,D,Hashara-2 Bridge,bridge,POINT (90.5970274 23.6341108)
N1,20.442,LRP020c,23.6335552,90.5976941,BE,Bridge,Bridge end,52,51.874489795918365,Bridge,LRP020c,51.874489795918365,D,.,bridge,POINT (90.5976941 23.6335552)
N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,Km post missing,53,82.00000000000074,KmPost,,,,,link,POINT (90.5982774 23.6330549)
N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,Box culvert,54,974.9999999999978,Culvert,LRP021a,6.1,D,PURINDA BAZAR BOX CULVERT,link,POINT (90.6042222 23.6262771)
N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,"Ctg 238 km,Comilla 71 km",55,130.00000000000256,KmPost,,,,,link,POINT (90.6049722 23.6252216)
N1,21.765,LRP022a,23.6242216,90.6055278,BS,Bridge,Bridge start,56,18.680838709677417,Bridge,LRP022a,18.680838709677417,D,NORTH HIJOLTOLI BRIDGE (1),bridge,POINT (90.6055278 23.6242216)
N1,21.993,LRP022b,23.6224993,90.6066944,BE,Bridge,Bridge end,57,5.441219512195122,Bridge,LRP022b,5.441219512195122,D,FOTIKCHORI BAZAR BOX CULVERT,bridge,POINT (90.6066944 23.6224993)
N1,22.252,LRP022c,23.6204716,90.6079722,BS,Bridge,Bridge start,58,11.473103448275863,Bridge,LRP022c,11.473103448275863,C,.,bridge,POINT (90.6079722 23.6204716)
N1,22.374,LRP022d,23.6195271,90.6085833,BE,Bridge,Bridge end,59,4.575,Bridge,LRP022d,4.575,B,NORTH HIJOLTOLI CULVERT (2),bridge,POINT (90.6085833 23.6195271)
N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,Km post missing,60,255.00000000000256,KmPost,,,,,link,POINT (90.6096944 23.6173604)
N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,Meghna  bridge,61,22.282499999999995,Bridge,LRP023a,22.282499999999995,D,ASHIR CHAR (Right),bridge,POINT (90.6121944 23.6095556)
N1,23.629,LRP024,23.609,90.6124722,,KmPost,Km post missing,62,65.00000000000128,KmPost,,,,,link,POINT (90.6124722 23.609)
N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,Bridge end,63,32.48182481751825,Bridge,LRP024a,32.48182481751825,D,Meghna Bridge,bridge,POINT (90.6159722 23.6018611)
N1,24.629,LRP025,23.6009444,90.6165556,,KmPost,Km post missing,64,126.00000000000122,KmPost,,,,,link,POINT (90.6165556 23.6009444)
N1,25.629,LRP026,23.5959997,90.624666,,KmPost,Km post missing,65,1000.0,KmPost,,,,,link,POINT (90.624666 23.5959997)
N1,25.639,LRP026a,23.5959441,90.6246938,,Culvert,Box culvert,66,9.99999999999801,Culvert,LRP026a,14.939922480620154,D,TATULTALA CULVERT,link,POINT (90.6246938 23.5959441)
N1,26.313,LRP026b,23.5917497,90.6293327,,Culvert,Box culvert,67,673.9999999999995,Culvert,LRP026b,16.88783783783784,D,BAILAKANDI CULVERT,link,POINT (90.6293327 23.5917497)
N1,26.629,LRP027,23.5896108,90.6313882,,KmPost,Km post missing,68,316.0000000000025,KmPost,,,,,link,POINT (90.6313882 23.5896108)
N1,27.503,LRP027a,23.5837497,90.6369441,,Bridge,Bridge start,69,18.935249999999996,Bridge,LRP027a,18.935249999999996,D,MALUAKANDI CULVEDRT,bridge,POINT (90.6369441 23.5837497)
N1,27.629,LRP028,23.5828327,90.6378886,,KmPost,Km post missing,70,126.00000000000122,KmPost,,,,,link,POINT (90.6378886 23.5828327)
N1,27.668,LRP028a,23.5825827,90.6381386,BS,Bridge,Bridge end,71,20.14310606060606,Bridge,LRP028a,20.14310606060606,D,Bhater char Bridge (R),bridge,POINT (90.6381386 23.5825827)
N1,28.324,LRP028b,23.577916,90.6419719,BE,Bridge,Bridge start,72,17.91714285714286,Bridge,LRP028b,17.91714285714286,D,Bhater char Bridge (L),bridge,POINT (90.6419719 23.577916)
N1,28.363,LRP028c,23.5776104,90.6421108,,Bridge,Bridge end,73,15.74727272727273,Bridge,LRP028c,15.74727272727273,D,SHOHAGPURCUL-3,bridge,POINT (90.6421108 23.5776104)
N1,28.759,LRP029,23.5745271,90.6436941,,KmPost,Information missing,74,396.0000000000008,KmPost,,,,,link,POINT (90.6436941 23.5745271)
N1,29.067,LRP029a,23.572166,90.6451108,BS,Bridge,Bridge start,75,6.1,Bridge,LRP029a,6.1,D,Anarpara Bridge (L),bridge,POINT (90.6451108 23.572166)
N1,29.113,LRP029b,23.5718327,90.6453052,BE,Bridge,Bridge end,76,21.551428571428573,Bridge,LRP029b,21.551428571428573,D,Anarpara Bridge (R),bridge,POINT (90.6453052 23.5718327)
N1,29.759,LRP030,23.5666111,90.6481663,,KmPost,Km post missing,77,646.0000000000008,KmPost,,,,,link,POINT (90.6481663 23.5666111)
N1,30.127,LRP030a,23.5639167,90.6501944,BS,Bridge,Bridge start,78,12.936262626262627,Bridge,LRP030a,12.936262626262627,D,VITIKANDA - ANAR PUR CULVERT,bridge,POINT (90.6501944 23.5639167)
N1,30.165,LRP030b,23.5636944,90.6504722,BE,Bridge,Bridge end,79,17.2455,Bridge,LRP030b,17.2455,D,DGWOYAHATA-2,bridge,POINT (90.6504722 23.5636944)
N1,30.697,LRP030c,23.5604167,90.6542222,BS,Bridge,Bridge start,80,10.13529411764706,Bridge,LRP030c,10.13529411764706,C,NARAYAN ROLI,bridge,POINT (90.6542222 23.5604167)
N1,30.735,LRP030d,23.5602222,90.6545,BE,Bridge,Bridge end,81,5.5928571428571425,Bridge,LRP030d,5.5928571428571425,C,BAMONDI SUB MARGE CULVERT,bridge,POINT (90.6545 23.5602222)
N1,30.774,LRP031,23.5599722,90.6548056,,KmPost,"Ctg 229 km,Comilla 62 km",82,39.00000000000148,KmPost,,,,,link,POINT (90.6548056 23.5599722)
N1,30.936,LRP031a,23.5590278,90.6559444,,"SideRoad,Right",Road to Gazara (Z1063),83,161.99999999999903,"SideRoad,Right",LRP031a,6.9,D,Alipur bridge(R),link,POINT (90.6559444 23.5590278)
N1,31.348,LRP031b,23.5564444,90.6588611,BS,Bridge,Bridge start,84,18.830000000000002,Bridge,LRP031b,18.830000000000002,D,DAWAYAHAT-3,bridge,POINT (90.6588611 23.5564444)
N1,31.388,LRP031c,23.5562222,90.6591389,BE,Bridge,Bridge end,85,7.456,Bridge,LRP031c,7.456,D,Panchdona Bridge,bridge,POINT (90.6591389 23.5562222)
N1,31.783,LRP032,23.5538056,90.6619722,,KmPost,"Ctg 228 km,Comilla 61 km",86,394.99999999999955,KmPost,,,,,link,POINT (90.6619722 23.5538056)
N1,32.025,LRP032a,23.5523333,90.6636667,,Culvert,Box culvert,87,241.99999999999733,Culvert,LRP032a,5.85,D,Bhaber char Bridge(R),link,POINT (90.6636667 23.5523333)
N1,32.607,LRP033,23.5487497,90.6678327,,KmPost,"Ctg 227 km,Comilla 60 km",88,582.0000000000007,KmPost,,,,,link,POINT (90.6678327 23.5487497)
N1,32.831,LRP033a,23.5474163,90.6694438,BS,Bridge,Bridge start,89,8.836526315789472,Bridge,LRP033a,8.836526315789472,D,PURRANBUICHE BOX CULVERT,bridge,POINT (90.6694438 23.5474163)
N1,32.908,LRP033b,23.5469441,90.6699993,BE,Bridge,Bridge end,90,11.457674418604652,Bridge,LRP033b,11.457674418604652,D,NOYAPARA,bridge,POINT (90.6699993 23.5469441)
N1,33.351,LRP033c,23.5442219,90.6731104,,Culvert,Box culvert,91,442.99999999999784,Culvert,LRP033c,10.24,D,SHALGANG BOX CULVERT,link,POINT (90.6731104 23.5442219)
N1,33.607,LRP034,23.542583,90.6749438,,KmPost,Km post missing,92,256.0000000000002,KmPost,,,,,link,POINT (90.6749438 23.542583)
N1,34.607,LRP035,23.5362497,90.681916,,KmPost,Km post missing,93,1000.0,KmPost,,,,,link,POINT (90.681916 23.5362497)
N1,34.641,LRP035a,23.536083,90.6821382,BS,Bridge,Bridge start,94,25.836701030927838,Bridge,LRP035a,25.836701030927838,D,.,bridge,POINT (90.6821382 23.536083)
N1,34.681,LRP035b,23.5358608,90.6823604,BE,Bridge,Bridge end,95,19.55181818181818,Bridge,LRP035b,19.55181818181818,C,BAGDI BOX CULVERT,bridge,POINT (90.6823604 23.5358608)
N1,34.956,LRP035c,23.5341386,90.6843052,,Culvert,Box culvert,96,275.0000000000057,Culvert,LRP035c,10.296,C,BRIDGE OVER SRIRAUPUR CULVERT,link,POINT (90.6843052 23.5341386)
N1,35.607,LRP036,23.5301938,90.688833,,KmPost,Km post missing,97,650.9999999999962,KmPost,,,,,link,POINT (90.688833 23.5301938)
N1,36.271,LRP036a,23.529916,90.6952219,,Bridge,Daudkandi bridge,98,6.8,Bridge,LRP036a,6.8,D,Baushia bazar Bridge( L ),bridge,POINT (90.6952219 23.529916)
N1,36.607,LRP037,23.5301382,90.6984997,,KmPost,Km post missing,99,335.9999999999985,KmPost,,,,,link,POINT (90.6984997 23.5301382)
N1,37.607,LRP038,23.5307493,90.7082778,,KmPost,Km post missing,100,1000.0,KmPost,,,,,link,POINT (90.7082778 23.5307493)
N1,37.685,LRP038a,23.5307771,90.7090278,,Bridge,Daudkandi bridge,101,22.162142857142854,Bridge,LRP038a,22.162142857142854,D,Bala Nagar Bridge,bridge,POINT (90.7090278 23.5307771)
N1,38.04,LRP038b,23.5313882,90.7153611,,Others / Others,Start of Comilla road Division / Start of Comilla road Division,102,354.9999999999969,Others,LRP038b,19.012999999999998,D,MURPUR BOX,link,POINT (90.7153611 23.5313882)
N1,38.466,LRP038c,23.5314716,90.7172216,,"SideRoad,Right",Road to Matlab (Z1062),103,426.00000000000193,"SideRoad,Right",LRP038c,23.88642857142857,C,KARAR CHAR CULVERT,link,POINT (90.7172216 23.5314716)
N1,38.543,LRP038d,23.5315271,90.7173604,BS,Bridge,Bridge start,104,4.426666666666667,Bridge,LRP038d,4.426666666666667,D,TALIPARA BOX CULVERT,bridge,POINT (90.7173604 23.5315271)
N1,38.56,LRP038e,23.5315827,90.7176104,BE,Bridge,Bridge end,105,12.0,Bridge,LRP038e,12.0,C,RANGUNID,bridge,POINT (90.7176104 23.5315827)
N1,38.607,LRP039,23.5317216,90.7180271,,KmPost,Km post missing,106,46.999999999997044,KmPost,,,,,link,POINT (90.7180271 23.5317216)
N1,39.12,LRP039a,23.5322346,90.7226298386,,Culvert,Box culvert,107,512.9999999999982,Culvert,LRP039a,24.127439024390245,D,KARAR CHAR CULVERT (2),link,POINT (90.7226298386 23.5322346)
N1,39.607,LRP040,23.5327216,90.7269993,,KmPost,Km post missing,108,487.0000000000019,KmPost,,,,,link,POINT (90.7269993 23.5327216)
N1,40.607,LRP041,23.528916,90.7356108,,KmPost,Km post missing,109,1000.0,KmPost,,,,,link,POINT (90.7356108 23.528916)
N1,41.261,LRP042,23.5289993,90.7419441,,KmPost,Ctg 214 km,110,654.0000000000034,KmPost,,,,,link,POINT (90.7419441 23.5289993)
N1,42.228,LRP042a,23.5293882,90.7514167,BS,Bridge,Bridge start,111,20.68079365079365,Bridge,LRP042a,20.68079365079365,D,SAYED NAGOR CULVERT,bridge,POINT (90.7514167 23.5293882)
N1,42.245,LRP042b,23.5293882,90.7515833,BE,Bridge,Bridge end,112,5.699333333333333,Bridge,LRP042b,5.699333333333333,C,.,bridge,POINT (90.7515833 23.5293882)
N1,42.269,LRP043,23.529416,90.75175,,KmPost,Km post broken,113,24.00000000000091,KmPost,,,,,link,POINT (90.75175 23.529416)
N1,43.269,LRP044,23.5299993,90.7615,,KmPost,Km post Missing,114,1000.0,KmPost,,,,,link,POINT (90.7615 23.5299993)
N1,44.269,LRP045,23.5304438,90.7713049,,KmPost,Km post Missing,115,1000.0,KmPost,,,,,link,POINT (90.7713049 23.5304438)
N1,44.454,LRP045a,23.5304993,90.7731104,,Culvert,Box culvert,116,185.00000000000227,Culvert,LRP045a,18.42206349206349,D,DUBAIL CULVERT,link,POINT (90.7731104 23.5304993)
N1,45.269,LRP046,23.5308049,90.7811104,,KmPost,Km post Missing,117,814.9999999999977,KmPost,,,,,link,POINT (90.7811104 23.5308049)
N1,45.322,LRP046a,23.5307493,90.7816104,,"SideRoad,Right","Z1402, road to Pennai",118,53.00000000000438,"SideRoad,Right",LRP046a,24.731617647058826,D,Simbi Bridge,link,POINT (90.7816104 23.5307493)
N1,45.388,LRP046b,23.530666,90.7821938,,"SideRoad,Left","Z1053, Road to Homna",119,65.9999999999954,"SideRoad,Left",LRP046b,9.29611111111111,D,.,link,POINT (90.7821938 23.530666)
N1,46.161,LRP046c,23.5312216,90.7895552,,Culvert,Box culvert,120,773.0000000000032,Culvert,LRP046c,7.960000000000001,C,KHARAMARA BOX CULVERT,link,POINT (90.7895552 23.5312216)
N1,46.269,LRP047,23.531166,90.7907219,,KmPost,Km post Missing,121,107.99999999999699,KmPost,,,,,link,POINT (90.7907219 23.531166)
N1,47.224,LRP047a,23.5306938,90.7924441,,"SideRoad,Right",Z1044,122,954.9999999999983,"SideRoad,Right",LRP047a,17.19153846153846,D,KUNDAR PARA (1) BOX CULVERT,link,POINT (90.7924441 23.5306938)
N1,47.269,LRP048,23.5308604,90.8002222,,KmPost,Km post Missing,123,45.000000000001705,KmPost,,,,,link,POINT (90.8002222 23.5308604)
N1,47.672,LRP048a,23.5308882,90.8041389,BS,Bridge,Bridge start,124,15.335283018867926,Bridge,LRP048a,15.335283018867926,C,HAZI BAGAN CULVERT,bridge,POINT (90.8041389 23.5308882)
N1,47.692,LRP048b,23.530916,90.8043611,BE,Bridge,Bridge end,125,13.793333333333333,Bridge,LRP048b,13.793333333333333,C,SHARIPULAIA BOX CULVERT,bridge,POINT (90.8043611 23.530916)
N1,48.269,LRP049,23.5316382,90.8099167,,KmPost,Km post Missing,126,576.9999999999982,KmPost,,,,,link,POINT (90.8099167 23.5316382)
N1,49.269,LRP050,23.5332493,90.8194716,,KmPost,Km post Missing,127,1000.0,KmPost,,,,,link,POINT (90.8194716 23.5332493)
N1,49.863,LRP050a,23.5346663,90.8249716,BS,Bridge,Bridge start,128,37.86913043478261,Bridge,LRP050a,37.86913043478261,D,HAGIBAGAN BOX CULVERT,bridge,POINT (90.8249716 23.5346663)
N1,49.879,LRP050b,23.5347219,90.8251104,BE,Bridge,Bridge end,129,6.833333333333333,Bridge,LRP050b,6.833333333333333,C,BOLITE,bridge,POINT (90.8251104 23.5347219)
N1,50.269,LRP051,23.5344997,90.8287216,,KmPost,Km post Missing,130,390.00000000000057,KmPost,,,,,link,POINT (90.8287216 23.5344997)
N1,51.269,LRP052,23.5292216,90.8365274,,KmPost,Km post Missing,131,1000.0,KmPost,,,,,link,POINT (90.8365274 23.5292216)
N1,51.636,LRP052a,23.5270549,90.8391386,,Culvert,Box culvert,132,367.00000000000443,Culvert,LRP052a,14.937906976744188,D,CHAITANUE BOX CULVERT,link,POINT (90.8391386 23.5270549)
N1,52.269,LRP053,23.523166,90.8438886,,KmPost,Km post Missing,133,632.9999999999956,KmPost,,,,,link,POINT (90.8438886 23.523166)
N1,53.269,LRP054,23.5174993,90.8513889,,KmPost,Km post Missing,134,1000.0,KmPost,,,,,link,POINT (90.8513889 23.5174993)
N1,54.269,LRP055,23.5170827,90.8607778,,KmPost,Km post Missing,135,1000.0,KmPost,,,,,link,POINT (90.8607778 23.5170827)
N1,55.269,LRP056,23.5135833,90.8697771,,KmPost,Km post Missing,136,1000.0,KmPost,,,,,link,POINT (90.8697771 23.5135833)
N1,55.333,LRP056a,23.5133056,90.8703049,BS,Bridge,Bridge start,137,12.411764705882353,Bridge,LRP056a,12.411764705882353,C,BARMANERTEK BOX CULVERT,bridge,POINT (90.8703049 23.5133056)
N1,55.375,LRP056b,23.5131111,90.8706382,BE,Bridge,Bridge end,138,36.91461538461538,Bridge,LRP056b,36.91461538461538,C,Bitimargal Bridge,bridge,POINT (90.8706382 23.5131111)
N1,55.477,LRP056c,23.5126667,90.871416,,"SideRoad,Left","Z1042, road to Bancharampur",139,101.99999999999676,"SideRoad,Left",LRP056c,173.195,D,MANIK CHARI BOX CULVERT,link,POINT (90.871416 23.5126667)
N1,56.269,LRP057,23.5088056,90.8778604,,KmPost,Km post Missing,140,792.0000000000016,KmPost,,,,,link,POINT (90.8778604 23.5088056)
N1,57.269,LRP058,23.506,90.8869163,,KmPost,Km post Missing,141,1000.0,KmPost,,,,,link,POINT (90.8869163 23.506)
N1,58.191,LRP058a,23.5056111,90.8958886,,Culvert,Box culvert,142,922.0000000000041,Culvert,LRP058a,29.44340909090909,D,NOGARJOLY BOX CULVERT,link,POINT (90.8958886 23.5056111)
N1,58.269,LRP059,23.5056389,90.8966108,,KmPost,Km post Missing,143,77.99999999999585,KmPost,,,,,link,POINT (90.8966108 23.5056389)
N1,59.269,LRP060,23.5062778,90.9063889,,KmPost,Km post Missing,144,1000.0,KmPost,,,,,link,POINT (90.9063889 23.5062778)
N1,60.18,LRP060a,23.50575,90.91525,,Culvert,Box culvert,145,911.0000000000014,Culvert,LRP060a,15.618571428571428,C,Khamachor Bridge,link,POINT (90.91525 23.50575)
N1,60.269,LRP061,23.5057222,90.9160278,,KmPost,Km post Missing,146,88.99999999999864,KmPost,,,,,link,POINT (90.9160278 23.5057222)
N1,61.269,LRP062,23.5055278,90.9257216,,KmPost,Km post Missing,147,1000.0,KmPost,,,,,link,POINT (90.9257216 23.5055278)
N1,62.269,LRP063,23.5042778,90.9354163,,KmPost,Km post Missing,148,1000.0,KmPost,,,,,link,POINT (90.9354163 23.5042778)
N1,62.278,LRP063a,23.5043333,90.9354719,,"SideRoad,Left","Z1017, Road to Companiganj",149,9.000000000000341,"SideRoad,Left",LRP063a,10.7509375,D,Patila Dua Bridge,link,POINT (90.9354719 23.5043333)
N1,62.542,LRP063b,23.5038611,90.9371386,,Culvert,Box culvert,150,264.0000000000029,Culvert,LRP063b,2.976,C,.,link,POINT (90.9371386 23.5038611)
N1,62.894,LRP063c,23.5028611,90.9412774,,Culvert,Box culvert,151,351.99999999999676,Culvert,LRP063c,12.0,C,Pukuria Bridge,link,POINT (90.9412774 23.5028611)
